Index,Unique ID,Size,Material,Prolateness,Oblateness,Alpha,Theta,Phi,Temperature,Mag x,Mag y,Mag z,Vorticity x,Vorticity y,Vorticity z,Relative helicity,Anisotropy energy,Exchange energy,Demag energy,Total energy,Directory
0,./LEMs/LEM017,0.12,TM 00,1.44,1,0.00000000 ,0.00000000 ,0.00000000 ,20,1.03620094107664E-07,0.000129569929005175,-0.000128718258960282,-2.11386726649781E-05,0.0233817920396356,-0.0232375948676047,0.000531773398009095,-2.50700562770405E-18,1.8787080349034E-17,5.0375112547132E-18,2.13175859760432E-17,./LEMs/LEM017
1,./LEMs/LEM099,0.12,TM 00,1.44,1,0.00000000 ,0.00000000 ,0.00000000 ,20,-1.56983231867079E-06,0.000129645094618106,-0.000128590508855502,0.000151698102466591,-0.0233879703816177,0.0232254600684134,-0.000531894468228848,-2.5072950938763E-18,1.8787461224919E-17,5.03557717649276E-18,2.13157433075355E-17,./LEMs/LEM099
2,./LEMs/LEM058,0.12,TM 00,1.44,1,0.00000000 ,0.00000000 ,0.00000000 ,20,2.96025488157722E-06,-0.000129220887148509,0.000129014494574569,0.000315367402758673,-0.0233362963076196,0.0232817181302667,0.000531746026271795,-2.50711458494208E-18,1.87881975442882E-17,5.03674463774446E-18,2.13178275970906E-17,./LEMs/LEM058
3,./LEMs/LEM068,0.12,TM 00,1.44,1,0.00000000 ,0.00000000 ,0.00000000 ,20,2.63338692260268E-06,0.000129642163957346,-0.000128636573110783,0.000265127648645622,0.0233942793810749,-0.0232238652750554,0.000531769964749472,-2.50698625100746E-18,1.87872601783809E-17,5.03741066852895E-18,2.13176845959024E-17,./LEMs/LEM068
4,./LEMs/LEM027,0.12,TM 00,1.44,1,0.00000000 ,0.00000000 ,0.00000000 ,20,2.74769415268562E-06,-0.00012938900837387,0.000128906685535371,-0.000240985998610631,0.0233619153062515,-0.0232510412440952,-0.000531961548390278,-2.50722213276412E-18,1.87863096544143E-17,5.0367535493571E-18,2.13158410710072E-17,./LEMs/LEM027
5,./LEMs/LEM044,0.12,TM 00,1.44,1,0.00000000 ,0.00000000 ,0.00000000 ,20,-6.69529977059987E-06,0.000129370742722185,0.000128862104855963,0.00071696490839902,-0.0233438462856541,-0.0232657798587883,-0.000531824552766368,-2.50780381614042E-18,1.87884637553109E-17,5.03693675194864E-18,2.13175966911191E-17,./LEMs/LEM044
6,./LEMs/LEM080,0.12,TM 00,1.44,1,0.00000000 ,0.00000000 ,0.00000000 ,20,-5.74737651154029E-07,0.00012928956557251,-0.00012898593552845,-8.02849864527885E-05,0.0233449644890764,-0.0232744871673384,0.000531759442054885,-2.50704935586672E-18,1.87872884441212E-17,5.03736639867833E-18,2.13176054869328E-17,./LEMs/LEM080
7,./LEMs/LEM040,0.12,TM 00,1.44,1,0.00000000 ,0.00000000 ,0.00000000 ,20,-2.40080466472773E-06,0.000129339351066987,0.000128946739864147,0.000255024093369335,-0.0233486145770428,-0.023268394759726,-0.000531794282671377,-2.50770536033815E-18,1.8787109058653E-17,5.03750612488718E-18,2.1316909823202E-17,./LEMs/LEM040
8,./LEMs/LEM066,0.12,TM 00,1.44,1,0.00000000 ,0.00000000 ,0.00000000 ,20,1.29808055287994E-06,-0.000129526603245757,0.000128725288158133,-0.000107450483627074,0.0233640570961318,-0.0232495787175772,-0.000531923086143573,-2.50728078839365E-18,1.87871940159553E-17,5.03581518019116E-18,2.13157284077528E-17,./LEMs/LEM066
9,./LEMs/LEM051,0.12,TM 00,1.44,1,0.00000000 ,0.00000000 ,0.00000000 ,20,-1.25392370722331E-06,-0.00012895628439577,-0.000129330806716713,0.000120108595293995,0.0232942944458828,0.0233235285637518,-0.000531792024464202,-2.50768588084327E-18,1.87870168893124E-17,5.03759821105705E-18,2.13169292195262E-17,./LEMs/LEM051
