TMx,alignment,PRO,OBL,size,Mx,My,Mz,step type,temperature,check temperature
30,hard,1.44,1.0,60,4.279956015438701e-17,2.236143393801534e-20,2.5009369982038775e-19,P,400,450
30,hard,1.44,1.0,60,4.279956015438701e-17,2.236143393801534e-20,2.5009369982038775e-19,I,450,450
30,hard,1.44,1.0,60,4.2799560154380726e-17,2.2361433947201182e-20,2.500936998203299e-19,I,475,475
30,hard,1.44,1.0,60,4.279956015437432e-17,2.2361433947201327e-20,2.5009369982029184e-19,Z,475,475
30,hard,1.44,1.0,60,4.279955752143531e-17,2.236143257161323e-20,2.5009368443494877e-19,Z,500,500
30,hard,1.44,1.0,60,4.279955752143531e-17,2.236143257161323e-20,2.5009368443494877e-19,P,450,500
30,hard,1.44,1.0,60,4.279955481570897e-17,2.2364642040175994e-20,2.500936589350541e-19,I,500,500
30,hard,1.44,1.0,60,4.2723840700244955e-17,1.0089253921188271e-19,2.493805522572653e-19,I,520,520
30,hard,1.44,1.0,60,4.2649887995472684e-17,1.0071789957171126e-19,2.489488877332374e-19,Z,520,520
30,hard,1.44,1.0,60,2.1287359448708344e-32,2.692847101197418e-33,-6.263906490530882e-33,Z,540,540
30,hard,1.44,1.0,60,-3.761841635964737e-26,3.1790376019390853e-24,-1.0307423499760499e-26,P,500,540
30,hard,1.44,1.0,60,1.3015757584447334e-20,3.757478184890928e-17,-2.535871064919281e-19,I,540,540
30,hard,1.44,1.0,60,1.8424960535717567e-20,3.5744587898424187e-17,-2.4452517098563853e-19,I,560,560
30,hard,1.44,1.0,60,-3.615759834993905e-33,-7.711787447299416e-34,-9.24267813784981e-33,Z,560,560
30,hard,1.44,1.0,60,-3.615759834993905e-33,-7.711787447299416e-34,-9.24267813784981e-33,Z,579,579
30,hard,1.44,1.0,60,1.301575758443626e-20,3.7574781848909296e-17,-2.5358710649193406e-19,P,540,579
30,hard,1.44,1.0,60,1.8424960542218147e-20,3.57445878986251e-17,-2.4452517099253374e-19,I,579,579
30,hard,1.44,1.0,70,8.350939180867418e-17,1.2458860744333844e-20,4.822866465125026e-19,Z,20,20
30,hard,1.44,1.0,70,8.350939180867418e-17,1.2458860744333844e-20,4.822866465125026e-19,Z,100,100
30,hard,1.44,1.0,70,8.350939180867418e-17,1.2458860744333844e-20,4.822866465125026e-19,I,100,100
30,hard,1.44,1.0,70,8.350939180867418e-17,1.2458860744333844e-20,4.822866465125026e-19,I,200,200
30,hard,1.44,1.0,70,8.350939180867418e-17,1.2458860744333844e-20,4.822866465125026e-19,Z,200,200
30,hard,1.44,1.0,70,8.350939180867418e-17,1.2458860744333844e-20,4.822866465125026e-19,Z,300,300
30,hard,1.44,1.0,70,8.350939180867418e-17,1.2458860744333844e-20,4.822866465125026e-19,P,100,300
30,hard,1.44,1.0,70,8.350939180867418e-17,1.2458860744333844e-20,4.822866465125026e-19,I,300,300
30,hard,1.44,1.0,70,8.350939180867418e-17,1.2458860744333844e-20,4.822866465125026e-19,I,350,350
30,hard,1.44,1.0,70,8.350939180867418e-17,1.2458860744333844e-20,4.822866465125026e-19,Z,350,350
30,hard,1.44,1.0,70,8.350939180867418e-17,1.2458860744333844e-20,4.822866465125026e-19,Z,400,400
30,hard,1.44,1.0,70,8.350939180867418e-17,1.2458860744333844e-20,4.822866465125026e-19,P,300,400
30,hard,1.44,1.0,70,8.350939180867418e-17,1.2458860744333844e-20,4.822866465125026e-19,I,400,400
30,hard,1.44,1.0,70,8.350939180867418e-17,1.2458860744333844e-20,4.822866465125026e-19,I,425,425
30,hard,1.44,1.0,70,8.350939180867418e-17,1.2458860744333844e-20,4.822866465125026e-19,Z,425,425
30,hard,1.44,1.0,70,8.350939180867418e-17,1.2458860744333844e-20,4.822866465125026e-19,Z,450,450
30,hard,1.44,1.0,70,8.350939180867418e-17,1.2458860744333844e-20,4.822866465125026e-19,P,400,450
30,hard,1.44,1.0,70,8.350939180867418e-17,1.2458860744333844e-20,4.822866465125026e-19,I,450,450
30,hard,1.44,1.0,70,8.350939180867418e-17,1.2458860744333844e-20,4.822866465125026e-19,I,475,475
30,hard,1.44,1.0,70,8.350939180867418e-17,1.2458860744333844e-20,4.822866465125026e-19,Z,475,475
30,hard,1.44,1.0,70,8.350939180867418e-17,1.2458860744333844e-20,4.822866465125026e-19,Z,500,500
30,hard,1.44,1.0,70,8.350939180867418e-17,1.2458860744333844e-20,4.822866465125026e-19,P,450,500
30,hard,1.44,1.0,70,8.350939180867418e-17,1.2458860744333844e-20,4.822866465125026e-19,I,500,500
30,hard,1.44,1.0,70,8.350939180851762e-17,1.2458860967926992e-20,4.822866465105158e-19,I,520,520
30,hard,1.44,1.0,70,8.350939180835644e-17,1.2458860967872584e-20,4.822866465095956e-19,Z,520,520
30,hard,1.44,1.0,70,8.350714690749135e-17,1.2458526048549184e-20,4.822736816719303e-19,Z,540,540
30,hard,1.44,1.0,70,8.350714690749135e-17,1.2458526048549184e-20,4.822736816719303e-19,P,500,540
30,hard,1.44,1.0,70,8.350483476678351e-17,1.5022199202308054e-20,4.8226437210506805e-19,I,540,540
30,hard,1.44,1.0,70,1.5073681091653298e-20,7.056811693823317e-17,-4.6735802053381325e-19,I,560,560
30,hard,1.44,1.0,70,-5.735354071962741e-33,-1.2232513650358187e-33,-1.466082763039687e-32,Z,560,560
30,hard,1.44,1.0,70,-5.735354071962741e-33,-1.2232513650358187e-33,-1.466082763039687e-32,Z,579,579
30,hard,1.44,1.0,70,-4.1406047116619986e-23,2.526668153795286e-21,3.143812506067629e-24,P,540,579
30,hard,1.44,1.0,70,1.6299723068872145e-21,6.976866607126092e-17,-4.504891378266743e-19,I,579,579
30,hard,1.44,1.0,80,1.4589842461003184e-16,5.3582578812235365e-20,8.450312167666597e-19,Z,20,20
30,hard,1.44,1.0,80,1.4589842461003184e-16,5.3582578812235365e-20,8.450312167666597e-19,Z,100,100
30,hard,1.44,1.0,80,1.4589842461003184e-16,5.3582578812235365e-20,8.450312167666597e-19,I,100,100
30,hard,1.44,1.0,80,1.4589842461003184e-16,5.3582578812235365e-20,8.450312167666597e-19,I,200,200
30,hard,1.44,1.0,80,1.4589842461003184e-16,5.3582578812235365e-20,8.450312167666597e-19,Z,200,200
30,hard,1.44,1.0,80,1.4589842461003184e-16,5.3582578812235365e-20,8.450312167666597e-19,Z,300,300
30,hard,1.44,1.0,80,1.4589842461003184e-16,5.3582578812235365e-20,8.450312167666597e-19,P,100,300
30,hard,1.44,1.0,80,1.4589842461003184e-16,5.3582578812235365e-20,8.450312167666597e-19,I,300,300
30,hard,1.44,1.0,80,1.4589842461003184e-16,5.3582578812235365e-20,8.450312167666597e-19,I,350,350
30,hard,1.44,1.0,80,1.4589842461003184e-16,5.3582578812235365e-20,8.450312167666597e-19,Z,350,350
30,hard,1.44,1.0,80,1.4589842461003184e-16,5.3582578812235365e-20,8.450312167666597e-19,Z,400,400
30,hard,1.44,1.0,80,1.4589842461003184e-16,5.3582578812235365e-20,8.450312167666597e-19,P,300,400
30,hard,1.44,1.0,80,1.4589842461003184e-16,5.3582578812235365e-20,8.450312167666597e-19,I,400,400
30,hard,1.44,1.0,80,1.4589842461003184e-16,5.3582578812235365e-20,8.450312167666597e-19,I,425,425
30,hard,1.44,1.0,80,1.4589842461003184e-16,5.3582578812235365e-20,8.450312167666597e-19,Z,425,425
30,hard,1.44,1.0,80,1.4589842461003184e-16,5.3582578812235365e-20,8.450312167666597e-19,Z,450,450
30,hard,1.44,1.0,80,1.4589842461003184e-16,5.3582578812235365e-20,8.450312167666597e-19,P,400,450
30,hard,1.44,1.0,80,1.4589842461003184e-16,5.3582578812235365e-20,8.450312167666597e-19,I,450,450
30,hard,1.44,1.0,80,1.4589842461003184e-16,5.3582578812235365e-20,8.450312167666597e-19,I,475,475
30,hard,1.44,1.0,80,1.4589842461003184e-16,5.3582578812235365e-20,8.450312167666597e-19,Z,475,475
30,hard,1.44,1.0,80,1.4589842461003184e-16,5.3582578812235365e-20,8.450312167666597e-19,Z,500,500
30,hard,1.44,1.0,80,1.4589842461003184e-16,5.3582578812235365e-20,8.450312167666597e-19,P,450,500
30,hard,1.44,1.0,80,1.4589842461003184e-16,5.3582578812235365e-20,8.450312167666597e-19,I,500,500
30,hard,1.44,1.0,80,1.4589842461003184e-16,5.3582578812235365e-20,8.450312167666597e-19,I,520,520
30,hard,1.44,1.0,80,1.4589842461003184e-16,5.3582578812235365e-20,8.450312167666597e-19,Z,520,520
30,hard,1.44,1.0,80,1.458984246094553e-16,5.358257881198461e-20,8.450312167632985e-19,Z,540,540
30,hard,1.44,1.0,80,1.458984246094553e-16,5.358257881198461e-20,8.450312167632985e-19,P,500,540
30,hard,1.44,1.0,80,1.4589842460887633e-16,5.358257961997048e-20,8.450312167549801e-19,I,540,540
30,hard,1.44,1.0,80,1.4169649056833652e-16,4.381590390645218e-18,7.934402686093335e-19,I,560,560
30,hard,1.44,1.0,80,1.3762683582745532e-16,4.255747047353044e-18,7.706519275726989e-19,Z,560,560
