TMx,alignment,PRO,OBL,size,Mx,My,Mz,step type,temperature,check temperature
30,hard,1.44,1.0,40,3.18827539652122e-20,-3.687966270183204e-20,5.460249201646603e-18,Z,20,20
30,hard,1.44,1.0,40,2.7693909625006704e-25,-3.2034310569924824e-25,4.742866610750685e-23,Z,100,100
30,hard,1.44,1.0,40,1.5192686938964868e-21,4.47906112981518e-18,-3.021852699397231e-20,I,100,100
30,hard,1.44,1.0,40,1.4952932445081196e-21,4.408293120642124e-18,-2.974171592829794e-20,I,125,125
30,hard,1.44,1.0,40,-1.1541924114152882e-35,1.245839858291344e-34,-5.281895010839181e-34,Z,125,125
30,hard,1.44,1.0,40,-1.1541924114152882e-35,1.245839858291344e-34,-5.281895010839181e-34,Z,150,150
30,hard,1.44,1.0,40,1.5192686572443864e-21,4.479061028875143e-18,-3.0218526720386895e-20,P,100,150
30,hard,1.44,1.0,40,1.495015231878938e-21,4.407471969644992e-18,-2.973619159727461e-20,I,150,150
30,hard,1.44,1.0,40,1.4950152247601156e-21,4.407471948654617e-18,-2.973619145570359e-20,I,175,175
30,hard,1.44,1.0,40,-1.1541924114152882e-35,1.245839858291344e-34,-5.281895010839181e-34,Z,175,175
30,hard,1.44,1.0,40,-1.1541924114152882e-35,1.245839858291344e-34,-5.281895010839181e-34,Z,200,200
30,hard,1.44,1.0,40,1.495015216485839e-21,4.407471924272162e-18,-2.973619129112628e-20,P,150,200
30,hard,1.44,1.0,40,1.4950151919558788e-21,4.407471851926884e-18,-2.973619080350618e-20,I,200,200
30,hard,1.44,1.0,40,1.495015184224251e-21,4.407471829015584e-18,-2.973619064960854e-20,I,225,225
30,hard,1.44,1.0,40,-1.1541924114152882e-35,1.245839858291344e-34,-5.281895010839181e-34,Z,225,225
30,hard,1.44,1.0,40,-1.1541924114152882e-35,1.245839858291344e-34,-5.281895010839181e-34,Z,250,250
30,hard,1.44,1.0,40,1.4950151215419947e-21,4.407471644048034e-18,-2.9736189402907297e-20,P,200,250
30,hard,1.44,1.0,40,1.4950151254538984e-21,4.407471655689498e-18,-2.9736189480736184e-20,I,250,250
30,hard,1.44,1.0,40,1.495015164430309e-21,4.407471770622548e-18,-2.973619025568942e-20,I,275,275
30,hard,1.44,1.0,40,-1.1541924114152882e-35,1.245839858291344e-34,-5.281895010839181e-34,Z,275,275
30,hard,1.44,1.0,40,-1.1541924114152882e-35,1.245839858291344e-34,-5.281895010839181e-34,Z,300,300
30,hard,1.44,1.0,40,1.4950151562059817e-21,4.4074717464914535e-18,-2.973619009272742e-20,P,250,300
30,hard,1.44,1.0,40,1.4950151432784914e-21,4.407471708203393e-18,-2.973618983514988e-20,I,300,300
30,hard,1.44,1.0,40,1.4950151360970568e-21,4.407471687016933e-18,-2.973618969224003e-20,I,325,325
30,hard,1.44,1.0,40,-1.1541924114152882e-35,1.245839858291344e-34,-5.281895010839181e-34,Z,325,325
30,hard,1.44,1.0,40,-1.1541924114152882e-35,1.245839858291344e-34,-5.281895010839181e-34,Z,350,350
30,hard,1.44,1.0,40,1.495015164430309e-21,4.407471770622548e-18,-2.973619025568942e-20,P,300,350
30,hard,1.44,1.0,40,1.4950151852713024e-21,4.4074718321807405e-18,-2.973619067048244e-20,I,350,350
30,hard,1.44,1.0,40,1.4950151848102528e-21,4.407471830745695e-18,-2.9736190661162504e-20,I,375,375
30,hard,1.44,1.0,40,-1.1541924114152882e-35,1.245839858291344e-34,-5.281895010839181e-34,Z,375,375
30,hard,1.44,1.0,40,-1.1541924114152882e-35,1.245839858291344e-34,-5.281895010839181e-34,Z,403,403
30,hard,1.44,1.0,40,1.4950151360970568e-21,4.407471687016933e-18,-2.973618969224003e-20,P,350,403
30,hard,1.44,1.0,40,1.4950151882839128e-21,4.407471841077368e-18,-2.973619073033157e-20,I,403,403
30,hard,1.44,1.0,50,9.224210924572072e-18,3.1284179918287736e-21,5.3722363118185e-20,Z,20,20
30,hard,1.44,1.0,50,9.224210923276889e-18,3.1284179914062968e-21,5.372236311062743e-20,Z,100,100
30,hard,1.44,1.0,50,9.224210921977099e-18,3.1284203883354572e-21,5.3722363086956477e-20,I,100,100
30,hard,1.44,1.0,50,9.22421076810019e-18,3.128692049161339e-21,5.372236036375379e-20,I,125,125
30,hard,1.44,1.0,50,9.224210614711801e-18,3.1286919971582452e-21,5.372235947039335e-20,Z,125,125
30,hard,1.44,1.0,50,9.224206052141103e-18,3.1286904496350344e-21,5.372233289770052e-20,Z,150,150
30,hard,1.44,1.0,50,9.224206050841323e-18,3.1286928465901467e-21,5.372233287403934e-20,P,100,150
30,hard,1.44,1.0,50,9.22420147440924e-18,3.1366044466254846e-21,5.372225300619719e-20,I,150,150
30,hard,1.44,1.0,50,9.224120359003843e-18,3.2639044124133404e-21,5.372092405321075e-20,I,175,175
30,hard,1.44,1.0,50,9.224039442975673e-18,3.2638757807214285e-21,5.372045280131621e-20,Z,175,175
30,hard,1.44,1.0,50,9.221447010787418e-18,3.2629584628530037e-21,5.370535457539363e-20,Z,200,200
30,hard,1.44,1.0,50,9.2214424357237e-18,3.270869998348154e-21,5.370527471593354e-20,P,150,200
30,hard,1.44,1.0,50,9.218845659217879e-18,6.956386979713924e-21,5.3665340818552765e-20,I,200,200
30,hard,1.44,1.0,50,9.096114748693262e-18,1.63943942441426e-19,5.1878647161283896e-20,I,225,225
30,hard,1.44,1.0,50,8.975204701041265e-18,1.617647186254963e-19,5.1189050572613356e-20,Z,225,225
30,hard,1.44,1.0,50,3.909238426608327e-18,7.045820961019983e-20,2.22958929835123e-20,Z,250,250
30,hard,1.44,1.0,50,3.908138297773908e-18,7.412478228397987e-20,2.226476546485981e-20,P,200,250
30,hard,1.44,1.0,50,1.7020033466029214e-18,6.005128820240471e-18,-3.05888791492735e-20,I,250,250
30,hard,1.44,1.0,50,3.2114384240150547e-21,9.468643111114432e-18,-6.387518630362992e-20,I,275,275
30,hard,1.44,1.0,50,9.349655607088343e-34,2.901441466737888e-34,2.664946949065835e-33,Z,275,275
30,hard,1.44,1.0,50,9.349655607088343e-34,2.901441466737888e-34,2.664946949065835e-33,Z,300,300
30,hard,1.44,1.0,50,2.0263372873367896e-21,5.972906245768044e-18,-4.0299750808537774e-20,P,250,300
30,hard,1.44,1.0,50,3.128389487345383e-21,9.223303424362027e-18,-6.222192039822901e-20,I,300,300
30,hard,1.44,1.0,50,3.1283863439256438e-21,9.223294116329428e-18,-6.222185751195315e-20,I,325,325
30,hard,1.44,1.0,50,9.349655607088343e-34,2.901441466737888e-34,2.664946949065835e-33,Z,325,325
30,hard,1.44,1.0,50,9.349655607088343e-34,2.901441466737888e-34,2.664946949065835e-33,Z,350,350
30,hard,1.44,1.0,50,3.1283871491608415e-21,9.223296524590608e-18,-6.222187389398326e-20,P,300,350
30,hard,1.44,1.0,50,3.12838844120315e-21,9.223300339073432e-18,-6.222189966514144e-20,I,350,350
30,hard,1.44,1.0,50,3.1283886585788844e-21,9.223300984053493e-18,-6.222190397630519e-20,I,375,375
30,hard,1.44,1.0,50,9.349655607088343e-34,2.901441466737888e-34,2.664946949065835e-33,Z,375,375
30,hard,1.44,1.0,50,9.349655607088343e-34,2.901441466737888e-34,2.664946949065835e-33,Z,403,403
30,hard,1.44,1.0,50,3.1283863439206725e-21,9.223294116323606e-18,-6.222185751190238e-20,P,350,403
30,hard,1.44,1.0,50,3.1283871813050215e-21,9.223296600767488e-18,-6.222187435678011e-20,I,403,403
30,hard,1.44,1.0,60,1.9214775335215892e-17,6.517439680580503e-21,1.1183373763586592e-19,Z,20,20
30,hard,1.44,1.0,60,1.9214775335215902e-17,6.517439680581995e-21,1.118337376358638e-19,Z,100,100
30,hard,1.44,1.0,60,1.9214775335216025e-17,6.5174396805515055e-21,1.1183373763584556e-19,I,100,100
30,hard,1.44,1.0,60,1.9214775335216235e-17,6.517439680569549e-21,1.118337376358612e-19,I,125,125
30,hard,1.44,1.0,60,1.921477533521624e-17,6.517439680572534e-21,1.118337376358564e-19,Z,125,125
30,hard,1.44,1.0,60,1.921477533521624e-17,6.517439680572534e-21,1.118337376358564e-19,Z,150,150
30,hard,1.44,1.0,60,1.9214775335216355e-17,6.51743968055502e-21,1.1183373763586847e-19,P,100,150
30,hard,1.44,1.0,60,1.9214775335216632e-17,6.517439680551096e-21,1.1183373763589987e-19,I,150,150
30,hard,1.44,1.0,60,1.9214775335217116e-17,6.5174396805349666e-21,1.1183373763586496e-19,I,175,175
30,hard,1.44,1.0,60,1.9214775335217122e-17,6.517439680533522e-21,1.1183373763587343e-19,Z,175,175
30,hard,1.44,1.0,60,1.9214775335217122e-17,6.517439680533522e-21,1.1183373763587343e-19,Z,200,200
30,hard,1.44,1.0,60,1.9214775335217418e-17,6.517439680503658e-21,1.1183373763581826e-19,P,150,200
30,hard,1.44,1.0,60,1.9214775335218003e-17,6.517439680536303e-21,1.1183373763575634e-19,I,200,200
30,hard,1.44,1.0,60,1.9214775335212038e-17,6.517439693145318e-21,1.1183373763559475e-19,I,225,225
30,hard,1.44,1.0,60,1.9214775335205338e-17,6.517439693144933e-21,1.1183373763554964e-19,Z,225,225
30,hard,1.44,1.0,60,1.9214775326447278e-17,6.51743969018343e-21,1.118337375845499e-19,Z,250,250
30,hard,1.44,1.0,60,1.9214775326447925e-17,6.5174396901559255e-21,1.11833737584538e-19,P,200,250
30,hard,1.44,1.0,60,1.921477531765362e-17,6.517454173155908e-21,1.1183373743603408e-19,I,250,250
30,hard,1.44,1.0,60,1.9214759794221185e-17,6.540181794601589e-21,1.1183348982814989e-19,I,275,275
30,hard,1.44,1.0,60,1.9214744321839595e-17,6.540176528245365e-21,1.1183339977600895e-19,Z,275,275
30,hard,1.44,1.0,60,1.9181637002477265e-17,6.528907696920191e-21,1.1164070899543952e-19,Z,300,300
30,hard,1.44,1.0,60,1.9181636993698152e-17,6.528922179943032e-21,1.1164070884692798e-19,P,250,300
30,hard,1.44,1.0,60,1.9148505437632246e-17,4.915936516803394e-20,1.111612039039542e-19,I,300,300
30,hard,1.44,1.0,60,3.3749454100455505e-19,2.0800802719126834e-17,-1.382458600000397e-19,I,325,325
30,hard,1.44,1.0,60,5.874535465408422e-21,3.6206527346576295e-19,-2.4063506482269614e-21,Z,325,325
30,hard,1.44,1.0,60,4.799641348990026e-34,-4.288574592169169e-35,4.32151378325625e-33,Z,350,350
30,hard,1.44,1.0,60,1.446866875388797e-23,4.264174921535692e-20,-2.8769090978486075e-22,P,300,350
30,hard,1.44,1.0,60,6.5131394172256186e-21,1.9212860340658718e-17,-1.2961171230552614e-19,I,350,350
30,hard,1.44,1.0,60,6.5131387214578715e-21,1.9212858150132848e-17,-1.2961169660203577e-19,I,375,375
30,hard,1.44,1.0,60,4.799641348990026e-34,-4.288574592169169e-35,4.32151378325625e-33,Z,375,375
30,hard,1.44,1.0,60,4.799641348990026e-34,-4.288574592169169e-35,4.32151378325625e-33,Z,403,403
30,hard,1.44,1.0,60,6.513145188480543e-21,1.9212877976793042e-17,-1.296118347663605e-19,P,350,403
30,hard,1.44,1.0,60,6.513144647356725e-21,1.9212876898090043e-17,-1.2961183027928948e-19,I,403,403
30,hard,1.44,1.0,70,3.658327804056837e-17,3.861545901767789e-19,1.091807307665952e-16,Z,20,20
30,hard,1.44,1.0,70,3.6907388491190946e-17,1.2519839726212317e-20,2.1458485224736684e-19,Z,100,100
30,hard,1.44,1.0,70,3.6907350849309943e-17,1.0878416572287945e-16,5.917187006881582e-19,I,100,100
30,hard,1.44,1.0,70,3.69073508516002e-17,1.0878416820286375e-16,5.917187075328811e-19,I,125,125
30,hard,1.44,1.0,70,3.6907388491191254e-17,1.2519839726152878e-20,2.1458485224733092e-19,Z,125,125
30,hard,1.44,1.0,70,3.6907388491191254e-17,1.2519839726152878e-20,2.1458485224733092e-19,Z,150,150
30,hard,1.44,1.0,70,3.690735085160033e-17,1.0878416820286374e-16,5.91718707532826e-19,P,100,150
30,hard,1.44,1.0,70,3.6907350851325316e-17,1.0878416809241392e-16,5.917187071713342e-19,I,150,150
30,hard,1.44,1.0,70,3.6907350851601276e-17,1.0878416820286368e-16,5.91718707532879e-19,I,175,175
30,hard,1.44,1.0,70,3.690738849119236e-17,1.251983972605651e-20,2.1458485224732332e-19,Z,175,175
30,hard,1.44,1.0,70,3.690738849119236e-17,1.251983972605651e-20,2.1458485224732332e-19,Z,200,200
30,hard,1.44,1.0,70,3.690735085160167e-17,1.0878416820286361e-16,5.917187075328803e-19,P,150,200
30,hard,1.44,1.0,70,3.690735085160251e-17,1.087841682028636e-16,5.917187075328434e-19,I,200,200
30,hard,1.44,1.0,70,3.6907350849313573e-17,1.0878416572287931e-16,5.917187006881309e-19,I,225,225
30,hard,1.44,1.0,70,3.6907388491194705e-17,1.2519839726039633e-20,2.1458485224732534e-19,Z,225,225
30,hard,1.44,1.0,70,3.6907388491194705e-17,1.2519839726039633e-20,2.1458485224732534e-19,Z,250,250
30,hard,1.44,1.0,70,3.6907350851604536e-17,1.087841682028636e-16,5.917187075328019e-19,P,200,250
30,hard,1.44,1.0,70,3.6907350851605904e-17,1.087841682028636e-16,5.917187075327498e-19,I,250,250
30,hard,1.44,1.0,70,3.6907350851607494e-17,1.0878416820286375e-16,5.917187075326704e-19,I,275,275
30,hard,1.44,1.0,70,3.6907388491198545e-17,1.2519839726181647e-20,2.1458485224710318e-19,Z,275,275
30,hard,1.44,1.0,70,3.6907388491130573e-17,1.2519839726144524e-20,2.1458485224672089e-19,Z,300,300
30,hard,1.44,1.0,70,3.690735085154086e-17,1.087841682028638e-16,5.917187075322093e-19,P,250,300
30,hard,1.44,1.0,70,3.690735085147414e-17,1.0878416820297914e-16,5.917187075309902e-19,I,300,300
30,hard,1.44,1.0,70,3.690733569323999e-17,1.0878419006094388e-16,5.917184759698671e-19,I,325,325
30,hard,1.44,1.0,70,3.6907358247944385e-17,1.2541692616833712e-20,2.145845330113569e-19,Z,325,325
30,hard,1.44,1.0,70,3.316892027334302e-17,1.1271313424999893e-20,1.928487327520902e-19,Z,350,350
30,hard,1.44,1.0,70,3.316888805244748e-17,1.0878291961663344e-16,5.699742356102435e-19,P,300,350
30,hard,1.44,1.0,70,2.979904148670043e-17,1.1323837588139097e-16,5.204318961801297e-19,I,350,350
30,hard,1.44,1.0,70,1.2517757707161108e-20,1.4567549491707147e-16,1.281139667188627e-19,I,375,375
30,hard,1.44,1.0,70,-2.3083848228305765e-35,2.491679716582688e-34,-1.0563790021678362e-33,Z,375,375
30,hard,1.44,1.0,70,-2.3083848228305765e-35,2.491679716582688e-34,-1.0563790021678362e-33,Z,403,403
30,hard,1.44,1.0,70,1.527317072100854e-21,1.1322825191871568e-16,3.469790007105964e-19,P,350,403
30,hard,1.44,1.0,70,1.2517826996982572e-20,1.456757014401945e-16,1.2811256803146758e-19,I,403,403
30,hard,1.44,1.0,80,6.481602895644024e-17,8.671106590942831e-19,2.418168304949163e-16,Z,20,20
30,hard,1.44,1.0,80,6.555038758532054e-17,2.218070804017414e-20,3.799821807457508e-19,Z,100,100
30,hard,1.44,1.0,80,6.557206814139329e-17,2.1034178641390886e-16,1.1235347844345695e-18,I,100,100
30,hard,1.44,1.0,80,6.557206814549344e-17,2.103417989820519e-16,1.1235348336430926e-18,I,125,125
30,hard,1.44,1.0,80,6.555038758532075e-17,2.2180708040111185e-20,3.799821807455794e-19,Z,125,125
30,hard,1.44,1.0,80,6.555038758532075e-17,2.2180708040111185e-20,3.799821807455794e-19,Z,150,150
30,hard,1.44,1.0,80,6.557206811744223e-17,2.1034179989509112e-16,1.123534828889718e-18,P,100,150
30,hard,1.44,1.0,80,6.557206814132562e-17,2.1034178597134552e-16,1.123534782749815e-18,I,150,150
30,hard,1.44,1.0,80,6.557206813494631e-17,2.1034179529229178e-16,1.1235348164777478e-18,I,175,175
