TMx,alignment,PRO,OBL,size,Mx,My,Mz,step type,temperature,check temperature
30,hard,1.44,1.0,40,4.407908192143035e-18,1.4950681849981404e-21,2.5678237723565267e-20,Z,20,20
30,hard,1.44,1.0,40,3.828790243603613e-23,1.298643889142564e-26,2.230458976354375e-25,Z,100,100
30,hard,1.44,1.0,40,1.5192689995567673e-21,4.4790610698655116e-18,-3.0218526994709147e-20,I,100,100
30,hard,1.44,1.0,40,1.495293307096049e-21,4.408293305314549e-18,-2.97417171729584e-20,I,125,125
30,hard,1.44,1.0,40,-1.1541924114152882e-35,1.245839858291344e-34,-5.281895010839181e-34,Z,125,125
30,hard,1.44,1.0,40,-1.1541924114152882e-35,1.245839858291344e-34,-5.281895010839181e-34,Z,150,150
30,hard,1.44,1.0,40,1.519268671140505e-21,4.4790610698654014e-18,-3.0218526996669635e-20,P,100,150
30,hard,1.44,1.0,40,1.495015175451127e-21,4.4074718031735616e-18,-2.973619047508604e-20,I,150,150
30,hard,1.44,1.0,40,1.4950151754434038e-21,4.4074718031547314e-18,-2.973619047497054e-20,I,175,175
30,hard,1.44,1.0,40,-1.1541924114152882e-35,1.245839858291344e-34,-5.281895010839181e-34,Z,175,175
30,hard,1.44,1.0,40,-1.1541924114152882e-35,1.245839858291344e-34,-5.281895010839181e-34,Z,200,200
30,hard,1.44,1.0,40,1.4950151754496555e-21,4.407471803173569e-18,-2.973619047508917e-20,P,150,200
30,hard,1.44,1.0,40,1.4950151754449325e-21,4.407471803154738e-18,-2.9736190474964885e-20,I,200,200
30,hard,1.44,1.0,40,1.4950151754438552e-21,4.4074718031547345e-18,-2.9736190474971024e-20,I,225,225
30,hard,1.44,1.0,40,-1.1541924114152882e-35,1.245839858291344e-34,-5.281895010839181e-34,Z,225,225
30,hard,1.44,1.0,40,-1.1541924114152882e-35,1.245839858291344e-34,-5.281895010839181e-34,Z,250,250
30,hard,1.44,1.0,40,1.4950151754483871e-21,4.407471803154735e-18,-2.973619047497071e-20,P,200,250
30,hard,1.44,1.0,40,1.4950151754481404e-21,4.407471803154732e-18,-2.973619047496799e-20,I,250,250
30,hard,1.44,1.0,40,1.495015175443789e-21,4.407471803154737e-18,-2.9736190474971024e-20,I,275,275
30,hard,1.44,1.0,40,-1.1541924114152882e-35,1.245839858291344e-34,-5.281895010839181e-34,Z,275,275
30,hard,1.44,1.0,40,-1.1541924114152882e-35,1.245839858291344e-34,-5.281895010839181e-34,Z,300,300
30,hard,1.44,1.0,40,1.4950151754481404e-21,4.407471803154732e-18,-2.973619047496799e-20,P,250,300
30,hard,1.44,1.0,40,1.4950151754438702e-21,4.407471803154734e-18,-2.973619047496729e-20,I,300,300
