Micromagnetic energy calculation : BEMScript 2014
Mesh data:
18 July 2026  17:48:40
         Nodes    Tetrahedra   Bndry nodes   Bndry faces        Volume
          5017         26684          1102          2200  0.900094E-03
Material data:
      Temp (c)            Ms            K1        LamdaS        SigmaS          A_ex Vol^(1/3) (m)     QHardness   Lam_Ex (nm)      Kd V (J)
            20  0.488461E+06 -0.122085E+05  0.000000E+00  0.000000E+00  0.135143E-10  0.965523E-07 -0.814373E-01  0.949461E+01  0.134936E-15
External field direction (x, y, z) and strength B (T):
            hx            hy            hz         B (T)
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
Energies in units of Kd V:
Global-N-Eva      N-Eval              E-Anis                    E-Stress                     E-Exch1                     E-Exch2                     E-Exch3                     E-Exch4                       E-ext                     E-Demag                       E-Tot                          Mx                          My                          Mz
           1           1   -0.16656233818135492836E-01  0.00000000000000000000E+00  0.14631143522361634624E+02  0.17121419544138486657E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.53133885138389541636E-01  0.14667621173681887115E+02  0.98522966884480537436E-02  0.20653607591487210815E-01  0.28721809578809848196E-02
           2           2   -0.16659280985323918212E-01  0.00000000000000000000E+00  0.14511536532436574376E+02  0.17005258534347966304E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.54068023343014366688E-01  0.14548945274794267135E+02  0.10136983543525334567E-01  0.21213312739460709472E-01  0.29388961773331905361E-02
           3           3   -0.16662079006337784243E-01  0.00000000000000000000E+00  0.14391620408836862666E+02  0.16888578694592698781E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.55014913726834070717E-01  0.14429973243557359552E+02  0.10425118176094908332E-01  0.21779805376072901291E-01  0.30088686551786002210E-02
           4           4   -0.16664635575353924785E-01  0.00000000000000000000E+00  0.14271465734710792717E+02  0.16771432318216181301E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.55974152733557262784E-01  0.14310775251868996349E+02  0.10716707647106336193E-01  0.22353104947795097990E-01  0.30820268125234494272E-02
           5           5   -0.16666958382351878404E-01  0.00000000000000000000E+00  0.14151142849317670525E+02  0.16653871069289696294E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.56945323028600627890E-01  0.14191421213963918646E+02  0.11011770555275348857E-01  0.22933236883488111735E-01  0.31582852400367194927E-02
           6           6   -0.16671820683998622020E-01  0.00000000000000000000E+00  0.13817288570188551944E+02  0.16326461475565643866E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.59679439502650442895E-01  0.13860296189007204504E+02  0.11836536098933904404E-01  0.24558709404741828342E-01  0.33915809698307789952E-02
           7           7   -0.16675116248543814246E-01  0.00000000000000000000E+00  0.13484634361066296648E+02  0.15997463252010795998E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.62487852034830169978E-01  0.13530447096852581623E+02  0.12687322704793935896E-01  0.26234747328658370585E-01  0.36455562141515505427E-02
           8           8   -0.16677139083408211440E-01  0.00000000000000000000E+00  0.13154540220103756454E+02  0.15668101361464946919E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.65360549755483457468E-01  0.13203223630775832831E+02  0.13565529593642509931E-01  0.27962238303907437781E-01  0.39170829215063717593E-02
           9           9   -0.16678282314572967504E-01  0.00000000000000000000E+00  0.12828232714863032626E+02  0.15339084719513618182E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.68287437986004492774E-01  0.12879841870534464832E+02  0.14472654558525395799E-01  0.29741906641640836195E-01  0.42029616323532893729E-02
          10          10   -0.16678180195627948651E-01  0.00000000000000000000E+00  0.11848884226083375992E+02  0.14337819415085414576E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.77464697212779154434E-01  0.11909670743100527091E+02  0.17397163681940035901E-01  0.35404518174717070078E-01  0.52213811554271110510E-02
          11          11   -0.16685445045193068175E-01  0.00000000000000000000E+00  0.10953644676709251016E+02  0.13385619505822267783E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.86671819058709659300E-01  0.11023631050722766389E+02  0.20608235584513866917E-01  0.41398219002058686544E-01  0.62593746228493882255E-02
          12          12   -0.16701156780767008325E-01  0.00000000000000000000E+00  0.10146666699425768599E+02  0.12491429910330381858E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.95712547335311315422E-01  0.10225678089980311469E+02  0.24065900536596272069E-01  0.47575315544011627378E-01  0.72692680034159573577E-02
          13          13   -0.16720647816148292986E-01  0.00000000000000000000E+00  0.94239645249397590021E+01  0.11660060893400892468E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.10444514429270686240E+00  0.95116890214163181128E+01  0.27662101754337482806E-01  0.53780813130523193177E-01  0.82181616829108891653E-02
          14          14   -0.16696980518354560818E-01  0.00000000000000000000E+00  0.71320736128680248811E+01  0.88739620429652568134E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.13635718822383305349E+00  0.72517338205735031309E+01  0.44147168115720343551E-01  0.75727328463011889248E-01  0.11330515573931982873E-01
          15          15   -0.16773808243658306499E-01  0.00000000000000000000E+00  0.58120692940729652420E+01  0.71368026658469085888E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.15706906698276534851E+00  0.59523645528120718851E+01  0.57618774521191261362E-01  0.92268639862874063384E-01  0.11705627661288135061E-01
          16          16   -0.16766284471673133932E-01  0.00000000000000000000E+00  0.48643898880789855355E+01  0.58793803971410474318E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17175292250979387609E+00  0.50193765261171066072E+01  0.69544237111595408329E-01  0.10685250507299681733E+00  0.12214626102779957417E-01
          17          17   -0.16702673462830382872E-01  0.00000000000000000000E+00  0.41494269705122128755E+01  0.49346892234403814115E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18247083710765890641E+00  0.43151951341570420340E+01  0.79766462487625450217E-01  0.12012520094452870667E+00  0.12980556787650898362E-01
          18          18   -0.16196159504420448022E-01  0.00000000000000000000E+00  0.38590562786128761452E+01  0.41619827478284481259E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18835128766516170962E+00  0.40312114067736173340E+01  0.98754507981752961965E-01  0.15974831965339295059E+00  0.99380699449574082249E-02
          19          19   -0.16498348137499597998E-01  0.00000000000000000000E+00  0.84657673564278876910E+01  0.10067925397855699288E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.11022901959814319917E+00  0.85594980278885302027E+01  0.70590239305725444030E-01  0.12174710779776148906E+00  0.69016612889402769934E-02
          20          20   -0.16102971423477996371E-01  0.00000000000000000000E+00  0.36322032483915145384E+01  0.39359183368913153167E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18873390236892989558E+00  0.38048341793369666597E+01  0.10127046367633214807E+00  0.16876874885623727174E+00  0.88797386068932056963E-02
          21          21   -0.16127547614846856477E-01  0.00000000000000000000E+00  0.30941658657766097917E+01  0.33785456542600043051E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.19463787432471987837E+00  0.32726761924864833375E+01  0.10255061758130998295E+00  0.17520648144462405704E+00  0.91644657937016461846E-02
          22          22   -0.16127509925970655996E-01  0.00000000000000000000E+00  0.27134020254244641812E+01  0.29843139145369828036E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.19891478502862491862E+00  0.28961893005271184265E+01  0.10331858903840519803E+00  0.18086999585651045153E+00  0.90950388708121963910E-02
          23          23   -0.16115151508069063685E-01  0.00000000000000000000E+00  0.24461876538993134744E+01  0.27052127424793770416E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.20195175889575622818E+00  0.26320242612870003995E+01  0.10384240940858179003E+00  0.18595164024001098468E+00  0.87617419737436395138E-02
          24          24   -0.16100244313512201977E-01  0.00000000000000000000E+00  0.19539371040653052969E+01  0.21729521905148394545E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.20763171781205955191E+00  0.21454685775638524525E+01  0.10477293521753935912E+00  0.19906804295083904699E+00  0.69712571135085556542E-02
