Micromagnetic energy calculation : BEMScript 2014
Mesh data:
18 July 2026  17:48:40
         Nodes    Tetrahedra   Bndry nodes   Bndry faces        Volume
          5017         26684          1102          2200  0.900094E-03
Material data:
      Temp (c)            Ms            K1        LamdaS        SigmaS          A_ex Vol^(1/3) (m)     QHardness   Lam_Ex (nm)      Kd V (J)
            20  0.488461E+06 -0.122085E+05  0.000000E+00  0.000000E+00  0.135143E-10  0.965523E-07 -0.814373E-01  0.949461E+01  0.134936E-15
External field direction (x, y, z) and strength B (T):
            hx            hy            hz         B (T)
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
Energies in units of Kd V:
Global-N-Eva      N-Eval              E-Anis                    E-Stress                     E-Exch1                     E-Exch2                     E-Exch3                     E-Exch4                       E-ext                     E-Demag                       E-Tot                          Mx                          My                          Mz
           1           1   -0.16596901130939856889E-01  0.00000000000000000000E+00  0.14664425923638139793E+02  0.17138914268804988694E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.52024338824759007449E-01  0.14699853361331959078E+02 -0.61948459749178574202E-02 -0.13447524518121393641E-01  0.15348233604116025622E-01
           2           2   -0.16600344340332542914E-01  0.00000000000000000000E+00  0.14545746812946951820E+02  0.17024233683332127498E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.52988628811423632570E-01  0.14582135097418042591E+02 -0.61012290616026523468E-02 -0.13464645013235666815E-01  0.15666470341879967093E-01
           3           3   -0.16603324818447666444E-01  0.00000000000000000000E+00  0.14426783738430511761E+02  0.16908966191114103594E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.53967332798809851402E-01  0.14464147746410874973E+02 -0.60034805971918596065E-02 -0.13485743714465665138E-01  0.15985773383015933202E-01
           4           4   -0.16605855772696829359E-01  0.00000000000000000000E+00  0.14307603077654121648E+02  0.16793082181642127182E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.54960033932199503504E-01  0.14345957255813623021E+02 -0.59014761472245573157E-02 -0.13511132708171943312E-01  0.16305996935749477589E-01
           5           5   -0.16607960342755568456E-01  0.00000000000000000000E+00  0.14188270949987700220E+02  0.16676573022927122736E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.55966297499532170756E-01  0.14227629287144477388E+02 -0.57950852920952483291E-02 -0.13541120091482122464E-01  0.16626996002005792891E-01
           6           6   -0.16611467515339293360E-01  0.00000000000000000000E+00  0.13857179966798275572E+02  0.16352497319991297076E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.58807169903072706307E-01  0.13899375669186008864E+02 -0.54793588560451828018E-02 -0.13636884975970917089E-01  0.17513260984090527062E-01
           7           7   -0.16613092781794496638E-01  0.00000000000000000000E+00  0.13527323423859472840E+02  0.16026395487023961550E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.61733925630230113146E-01  0.13572444256707909105E+02 -0.51260279524426447320E-02 -0.13775968254217675971E-01  0.18398540176766137871E-01
           8           8   -0.16614172393803899180E-01  0.00000000000000000000E+00  0.13199985161376742937E+02  0.15699147660265071025E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.64735533486552337967E-01  0.13248106522469493385E+02 -0.47324643331923032033E-02 -0.13963772091658541163E-01  0.19279779612480146822E-01
           9           9   -0.16615876127934033069E-01  0.00000000000000000000E+00  0.12876323656506301063E+02  0.15371848637638924728E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.67800655772343607075E-01  0.12927508436150709770E+02 -0.42963649725833875231E-02 -0.14204825113852001528E-01  0.20154032706195132429E-01
          10          10   -0.16628297364527061530E-01  0.00000000000000000000E+00  0.11903855657001193080E+02  0.14374567251616104713E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.77465219786293240678E-01  0.11964692579422957053E+02 -0.26738983819864213000E-02 -0.15195955916919471479E-01  0.22718050727307381037E-01
          11          11   -0.16638725693451709292E-01  0.00000000000000000000E+00  0.11012333348164231595E+02  0.13423196768708162807E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.87185726965451723625E-01  0.11082880349436230460E+02 -0.68025728788595528438E-03 -0.16774388999021564578E-01  0.25087724499523022387E-01
          12          12   -0.16629507755600219515E-01  0.00000000000000000000E+00  0.10204974723815443127E+02  0.12532743063100616254E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.96720558619272103962E-01  0.10285065774679114980E+02  0.15530132139434478164E-02 -0.18913119365892402252E-01  0.27308158998056792505E-01
          13          13   -0.16606772698048721804E-01  0.00000000000000000000E+00  0.94775074234699960840E+01  0.11704638754140674450E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.10588935491272472023E+00  0.95667900056846715273E+01  0.38687476074481309297E-02 -0.21512425919754156467E-01  0.29470625118405441994E-01
          14          14   -0.16545562324931595288E-01  0.00000000000000000000E+00  0.71112268609310813616E+01  0.88498697698475012885E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.13844328168557543113E+00  0.72331245802917250032E+01  0.13009959714060289823E-01 -0.31165251076185802176E-01  0.38946368766505652659E-01
          15          15   -0.16517679512014837168E-01  0.00000000000000000000E+00  0.57358237142521577567E+01  0.70357081500666307505E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.15862271010973200136E+00  0.58779287448498749313E+01  0.17685434264728166348E-01 -0.39751311863540646219E-01  0.46907735944912015702E-01
          16          16   -0.16538609135331935884E-01  0.00000000000000000000E+00  0.47531069209365730543E+01  0.57327107064735578490E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17125163457395886635E+00  0.49078199463752003595E+01  0.20603453084299807457E-01 -0.46392976010070426096E-01  0.54725362540907332431E-01
