Micromagnetic energy calculation : BEMScript 2014
Mesh data:
18 July 2026  17:48:40
         Nodes    Tetrahedra   Bndry nodes   Bndry faces        Volume
          5017         26684          1102          2200  0.900094E-03
Material data:
      Temp (c)            Ms            K1        LamdaS        SigmaS          A_ex Vol^(1/3) (m)     QHardness   Lam_Ex (nm)      Kd V (J)
            20  0.488461E+06 -0.122085E+05  0.000000E+00  0.000000E+00  0.135143E-10  0.965523E-07 -0.814373E-01  0.949461E+01  0.134936E-15
External field direction (x, y, z) and strength B (T):
            hx            hy            hz         B (T)
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
Energies in units of Kd V:
Global-N-Eva      N-Eval              E-Anis                    E-Stress                     E-Exch1                     E-Exch2                     E-Exch3                     E-Exch4                       E-ext                     E-Demag                       E-Tot                          Mx                          My                          Mz
           1           1   -0.16720029737163057126E-01  0.00000000000000000000E+00  0.14808908640908036602E+02  0.17277495976982656600E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.51112227465256815373E-01  0.14843300838636130479E+02  0.48829352752342604360E-02 -0.81584072231328901015E-02  0.24807201092306046565E-02
           2           2   -0.16720111652028083610E-01  0.00000000000000000000E+00  0.14692077558798814607E+02  0.17165946325408111051E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.52037742747625674589E-01  0.14727395189894412653E+02  0.49821911693299237439E-02 -0.84648769081790160157E-02  0.24850975458948119066E-02
           3           3   -0.16719768288761528013E-01  0.00000000000000000000E+00  0.14574832558695350215E+02  0.17053605233574796074E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.52979155343911482623E-01  0.14611091945750500187E+02  0.50855390654819783783E-02 -0.87804298357118965718E-02  0.24863013838412190148E-02
           4           4   -0.16718997982564497845E-01  0.00000000000000000000E+00  0.14457236649013140095E+02  0.16940611433977711187E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.53936151867475461141E-01  0.14494453802898052075E+02  0.51932030782639521452E-02 -0.91048879777788620932E-02  0.24841645151963557062E-02
           5           5   -0.16717804799212334504E-01  0.00000000000000000000E+00  0.14339352980828603989E+02  0.16827023723660317955E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.54908392674709941006E-01  0.14377543568704101773E+02  0.53053873983601798625E-02 -0.94380425950748841196E-02  0.24785213228800452058E-02
           6           6   -0.16712169028043746821E-01  0.00000000000000000000E+00  0.14011487789692717243E+02  0.16509905309490356728E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.57663395790510801886E-01  0.14052439016455185339E+02  0.56432098058677576669E-02 -0.10394707774212631063E-01  0.24494051058102555077E-02
           7           7   -0.16703688127769140276E-01  0.00000000000000000000E+00  0.13683700295987812012E+02  0.16189195018415826866E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.60519071001435144341E-01  0.13727515678861477610E+02  0.60203663057136697426E-02 -0.11406946337305410438E-01  0.23880240073621788847E-02
           8           8   -0.16692988443452343172E-01  0.00000000000000000000E+00  0.13357263592746072334E+02  0.15866147805608450838E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.63465377323049590452E-01  0.13404035981625668228E+02  0.64381855505899832429E-02 -0.12466709356885223928E-01  0.22912332891490911138E-02
           9           9   -0.16680775602674127733E-01  0.00000000000000000000E+00  0.13033346910675712493E+02  0.15542173278690004423E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.66491648537630981819E-01  0.13083157783610669611E+02  0.68965254798487099497E-02 -0.13565347621992912205E-01  0.21565789169034027366E-02
          10          10   -0.16637697575544046352E-01  0.00000000000000000000E+00  0.12051307119833488457E+02  0.14548335133005819486E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.76119125131689904795E-01  0.12110788547389635283E+02  0.86042089019847164261E-02 -0.16987127043413714766E-01  0.14990140604861192705E-02
