Micromagnetic energy calculation : BEMScript 2014
Mesh data:
18 July 2026  17:47:41
         Nodes    Tetrahedra   Bndry nodes   Bndry faces        Volume
          5017         26684          1102          2200  0.900094E-03
Material data:
      Temp (c)            Ms            K1        LamdaS        SigmaS          A_ex Vol^(1/3) (m)     QHardness   Lam_Ex (nm)      Kd V (J)
            20  0.488461E+06 -0.122085E+05  0.000000E+00  0.000000E+00  0.135143E-10  0.965523E-07 -0.814373E-01  0.949461E+01  0.134936E-15
External field direction (x, y, z) and strength B (T):
            hx            hy            hz         B (T)
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
Energies in units of Kd V:
Global-N-Eva      N-Eval              E-Anis                    E-Stress                     E-Exch1                     E-Exch2                     E-Exch3                     E-Exch4                       E-ext                     E-Demag                       E-Tot                          Mx                          My                          Mz
           1           1   -0.16469527095984981546E-01  0.00000000000000000000E+00  0.14650478719873664346E+02  0.17069255995010333748E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.52243231506680330722E-01  0.14686252424284360174E+02  0.76525290345393123109E-02  0.44675309572194668237E-02 -0.74151957365961281357E-02
           2           2   -0.16469174696949865494E-01  0.00000000000000000000E+00  0.14532557912898004915E+02  0.16954055402888002391E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.53180723029432913629E-01  0.14569269461230488716E+02  0.79164316845490266539E-02  0.44133655192883916238E-02 -0.77048182695483502166E-02
           3           3   -0.16468941829548000566E-01  0.00000000000000000000E+00  0.14414267695015448467E+02  0.16838287871295420928E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.54131781462029460172E-01  0.14451930534647928539E+02  0.81872355612480005038E-02  0.43518193918089869907E-02 -0.79970151562879197848E-02
           4           4   -0.16468828894811105013E-01  0.00000000000000000000E+00  0.14295669808737260453E+02  0.16721873935795589006E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.55096075809327182959E-01  0.14334297055651775921E+02  0.84649123933572198442E-02  0.42828196548344577010E-02 -0.82916144771141581798E-02
           5           5   -0.16468836542993449401E-01  0.00000000000000000000E+00  0.14176826418735535285E+02  0.16604895624870572135E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.56073256748851170450E-01  0.14216430838941393588E+02  0.87494203985523186923E-02  0.42063242206878482046E-02 -0.85884575958249578104E-02
           6           6   -0.16469558698772403249E-01  0.00000000000000000000E+00  0.13846724409343771356E+02  0.16279630076683872630E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.58829498799148970123E-01  0.13889084349444148714E+02  0.95591937385063451699E-02  0.39522442273179558478E-02 -0.94109073987334538464E-02
           7           7   -0.16471251082448283565E-01  0.00000000000000000000E+00  0.13517027292363289703E+02  0.15952191156859660381E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.61668883991113365717E-01  0.13562224925271955556E+02  0.10417719107679287993E-01  0.36411192011178146292E-02 -0.10244579425353174743E-01
           8           8   -0.16473817247656747514E-01  0.00000000000000000000E+00  0.13189017972289821756E+02  0.15623639704821680851E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.64582232852628693176E-01  0.13237126387894793567E+02  0.11322105143128504551E-01  0.32760456011407387486E-02 -0.11088362483411821902E-01
           9           9   -0.16476983859373961483E-01  0.00000000000000000000E+00  0.12863892468602946551E+02  0.15294049946845840182E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.67560078426909531135E-01  0.12914975563170481010E+02  0.12268463785316024300E-01  0.28617039959931769855E-02 -0.11942300949535279708E-01
          10          10   -0.16486334591947173628E-01  0.00000000000000000000E+00  0.11882912202775454347E+02  0.14288116845024255497E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.76967017142762078619E-01  0.11943392885326270303E+02  0.15281829250409932619E-01  0.12836151299996810451E-02 -0.14564906298558265643E-01
