Micromagnetic energy calculation : BEMScript 2014
Mesh data:
18 July 2026  17:48:43
         Nodes    Tetrahedra   Bndry nodes   Bndry faces        Volume
          5017         26684          1102          2200  0.900094E-03
Material data:
      Temp (c)            Ms            K1        LamdaS        SigmaS          A_ex Vol^(1/3) (m)     QHardness   Lam_Ex (nm)      Kd V (J)
            20  0.488461E+06 -0.122085E+05  0.000000E+00  0.000000E+00  0.135143E-10  0.965523E-07 -0.814373E-01  0.949461E+01  0.134936E-15
External field direction (x, y, z) and strength B (T):
            hx            hy            hz         B (T)
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
Energies in units of Kd V:
Global-N-Eva      N-Eval              E-Anis                    E-Stress                     E-Exch1                     E-Exch2                     E-Exch3                     E-Exch4                       E-ext                     E-Demag                       E-Tot                          Mx                          My                          Mz
           1           1   -0.16448938591863890984E-01  0.00000000000000000000E+00  0.14539616898205347084E+02  0.17008535857679934367E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.53621936013938290011E-01  0.14576789895627422666E+02 -0.20125282577563557290E-02  0.63073707322088348737E-02  0.16882615929936259196E-02
           2           2   -0.16448791509398638655E-01  0.00000000000000000000E+00  0.14423060697351292703E+02  0.16894901189312886203E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.54601361339187665100E-01  0.14461213267181081576E+02 -0.19745390211043656326E-02  0.65835403846200386477E-02  0.15302423455237680345E-02
           3           3   -0.16449005625386748514E-01  0.00000000000000000000E+00  0.14306149162503047023E+02  0.16780404704296135066E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.55597820675995369977E-01  0.14345297977553656210E+02 -0.19328159037602184091E-02  0.68627834431990927810E-02  0.13659537890632455614E-02
           4           4   -0.16449576511110140797E-01  0.00000000000000000000E+00  0.14188934827571904052E+02  0.16664948096795328070E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.56611113567759600851E-01  0.14229096364628553317E+02 -0.18873806970743712327E-02  0.71448862424844262337E-02  0.11953078616763841615E-02
           5           5   -0.16450493181648779412E-01  0.00000000000000000000E+00  0.14071470021770160486E+02  0.16548555705610993982E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.57641020037364189277E-01  0.14112660548625875379E+02 -0.18382692411222289683E-02  0.74296341794710162379E-02  0.10182147544314313140E-02
           6           6   -0.16454775464389555933E-01  0.00000000000000000000E+00  0.13745204034405688276E+02  0.16222944429933928490E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.60561103484971193223E-01  0.13789310362426270729E+02 -0.16904829718037963845E-02  0.82203403866724471249E-02  0.50300818437399262822E-03
           7           7   -0.16460916674492981349E-01  0.00000000000000000000E+00  0.13418992721761778597E+02  0.15892399032388230040E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.63596027610217070736E-01  0.13466127832697502242E+02 -0.15159411962342879670E-02  0.90232244591568391140E-02 -0.63316900987762657111E-04
           8           8   -0.16468137937838790014E-01  0.00000000000000000000E+00  0.13093893680225443532E+02  0.15558538043934802886E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.66738576120322093410E-01  0.13144164118407925201E+02 -0.13165675381302600119E-02  0.98330562599310954858E-02 -0.68273665050789091122E-03
           9           9   -0.16475649473467485900E-01  0.00000000000000000000E+00  0.12770916451237761535E+02  0.15223186466913867676E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.69980507352728815729E-01  0.12824421309117022716E+02 -0.10944965021374324695E-02  0.10644109798932932520E-01 -0.13568024865901705516E-02
          10          10   -0.16493806727411634144E-01  0.00000000000000000000E+00  0.11792136992409865570E+02  0.14199357447512300112E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.80395952145802279665E-01  0.11856039137828256358E+02 -0.31931730398456089053E-03  0.13009058730675902155E-01 -0.36936011090611007776E-02
