Micromagnetic energy calculation : BEMScript 2014
Mesh data:
18 July 2026  17:48:23
         Nodes    Tetrahedra   Bndry nodes   Bndry faces        Volume
          5017         26684          1102          2200  0.900094E-03
Material data:
      Temp (c)            Ms            K1        LamdaS        SigmaS          A_ex Vol^(1/3) (m)     QHardness   Lam_Ex (nm)      Kd V (J)
            20  0.488461E+06 -0.122085E+05  0.000000E+00  0.000000E+00  0.135143E-10  0.965523E-07 -0.814373E-01  0.949461E+01  0.134936E-15
External field direction (x, y, z) and strength B (T):
            hx            hy            hz         B (T)
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
Energies in units of Kd V:
Global-N-Eva      N-Eval              E-Anis                    E-Stress                     E-Exch1                     E-Exch2                     E-Exch3                     E-Exch4                       E-ext                     E-Demag                       E-Tot                          Mx                          My                          Mz
           1           1   -0.16609557032927216996E-01  0.00000000000000000000E+00  0.14638064827875242102E+02  0.17119644162787576391E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.52361416532624979747E-01  0.14673816687374941381E+02  0.22533532796500119547E-03  0.46471123189984163415E-02  0.49135969267425387216E-02
           2           2   -0.16612087683483271056E-01  0.00000000000000000000E+00  0.14520803749793774529E+02  0.17005273708554536682E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.53277349463351594827E-01  0.14557469011573644480E+02  0.21405183079981133956E-03  0.46276663493800404212E-02  0.49661597013081464763E-02
           3           3   -0.16614577611116062433E-01  0.00000000000000000000E+00  0.14403127239717674613E+02  0.16890066165663590425E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.54207506130395537169E-01  0.14440720168236955701E+02  0.20114102883735430235E-03  0.46087005379011657460E-02  0.50167406206371159202E-02
           4           4   -0.16616983013690512366E-01  0.00000000000000000000E+00  0.14285092237363052448E+02  0.16774024513823597715E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.55151622556645234219E-01  0.14323626876906008221E+02  0.18677349470561159473E-03  0.45903716716417589105E-02  0.50653181818998962646E-02
           5           5   -0.16619260855547924455E-01  0.00000000000000000000E+00  0.14166755891946875678E+02  0.16657251699743969908E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.56109412760987555091E-01  0.14206246043852315708E+02  0.17112191265150056003E-03  0.45728440450022670577E-02  0.51118802395568587946E-02
           6           6   -0.16624554152344872548E-01  0.00000000000000000000E+00  0.13837718539210845492E+02  0.16332496181431270799E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.58816160016963554835E-01  0.13879910145075463390E+02  0.12136694275571930572E-03  0.45205939336030627473E-02  0.52277964032335132519E-02
           7           7   -0.16627773407976661341E-01  0.00000000000000000000E+00  0.13508543635087365331E+02  0.16005632345846422027E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.61613313820963133693E-01  0.13553529175500351300E+02  0.66492160558940979461E-04  0.44782699424328591825E-02  0.53290617318476818029E-02
           8           8   -0.16628523279995421902E-01  0.00000000000000000000E+00  0.13180407483695534054E+02  0.15677671391730106265E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.64492358593530779709E-01  0.13228271319009069273E+02  0.93866422024979279310E-05  0.44501979656137195460E-02  0.54162924490966379842E-02
           9           9   -0.16626826417720855233E-01  0.00000000000000000000E+00  0.12854409841831952122E+02  0.15349279257323095393E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.67444058273376503165E-01  0.12905227073687607131E+02 -0.47820759560455920018E-04  0.44408089271813942431E-02  0.54900509641750104561E-02
          10          10   -0.16613319257041268134E-01  0.00000000000000000000E+00  0.11866500424486899234E+02  0.14339745379820739046E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.76803820206242781610E-01  0.11926690925436098212E+02 -0.24752629113251818681E-03  0.44522141195951587742E-02  0.56484185863137350778E-02
