Micromagnetic energy calculation : BEMScript 2014
Mesh data:
18 July 2026  17:48:43
         Nodes    Tetrahedra   Bndry nodes   Bndry faces        Volume
          5017         26684          1102          2200  0.900094E-03
Material data:
      Temp (c)            Ms            K1        LamdaS        SigmaS          A_ex Vol^(1/3) (m)     QHardness   Lam_Ex (nm)      Kd V (J)
            20  0.488461E+06 -0.122085E+05  0.000000E+00  0.000000E+00  0.135143E-10  0.965523E-07 -0.814373E-01  0.949461E+01  0.134936E-15
External field direction (x, y, z) and strength B (T):
            hx            hy            hz         B (T)
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
Energies in units of Kd V:
Global-N-Eva      N-Eval              E-Anis                    E-Stress                     E-Exch1                     E-Exch2                     E-Exch3                     E-Exch4                       E-ext                     E-Demag                       E-Tot                          Mx                          My                          Mz
           1           1   -0.16463232556436890874E-01  0.00000000000000000000E+00  0.14780944344532176871E+02  0.17303178630681674832E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.47991268500899582350E-01  0.14812472380476640055E+02  0.75907585173978150972E-02  0.92274773205581629015E-02  0.43501234866857490038E-02
           2           2   -0.16468607648825673434E-01  0.00000000000000000000E+00  0.14664431039174662175E+02  0.17191336455584380616E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.48788278775895636830E-01  0.14696750710301731857E+02  0.77335284076481842358E-02  0.95410019745441488476E-02  0.41125377483290570177E-02
           3           3   -0.16474141831727073804E-01  0.00000000000000000000E+00  0.14547515988202651016E+02  0.17078689135094094809E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.49597663963537673426E-01  0.14580639510334460596E+02  0.78771485423137933141E-02  0.98557763150515891037E-02  0.38673463861103696097E-02
           4           4   -0.16479821822676127274E-01  0.00000000000000000000E+00  0.14430258741995336536E+02  0.16965343910773359681E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.50419226821575721664E-01  0.14464198146994236893E+02  0.80216372581816321879E-02  0.10171410284906709856E-01  0.36145502123157815036E-02
           5           5   -0.16485637340201329815E-01  0.00000000000000000000E+00  0.14312719412339035330E+02  0.16851346947144399735E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.51252752418535926782E-01  0.14347486527417371960E+02  0.81670081385354833386E-02  0.10487523750157396601E-01  0.33541682270968094931E-02
           6           6   -0.16502456120478611878E-01  0.00000000000000000000E+00  0.13985787083783925766E+02  0.16533684261631602652E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.53611667139320813569E-01  0.14022896294802768224E+02  0.85681860221829293095E-02  0.11354064476704943398E-01  0.25986518724630913550E-02
           7           7   -0.16520221792035383324E-01  0.00000000000000000000E+00  0.13658974956103202558E+02  0.16212587058150013775E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.56050988189737603606E-01  0.13698505722500904369E+02  0.89754381328446090904E-02  0.12212568976383848807E-01  0.17875442962967448036E-02
           8           8   -0.16538883530758285295E-01  0.00000000000000000000E+00  0.13333573159798868701E+02  0.15888895452847927814E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.58563962284818513182E-01  0.13375598238552928620E+02  0.93885688631201256321E-02  0.13057358792976722292E-01  0.92447347031700082259E-03
           9           9   -0.16558344271317113755E-01  0.00000000000000000000E+00  0.13010811505595645698E+02  0.15563630552091384018E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.61143178825959640377E-01  0.13055396340150290158E+02  0.98072060676881369495E-02  0.13884158821280870311E-01  0.14925653124442341660E-04
          10          10   -0.16624129440477534297E-01  0.00000000000000000000E+00  0.12035489010235540519E+02  0.14569124471397625342E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.69374186649414706918E-01  0.12088239067444478181E+02  0.11097780967333865584E-01  0.16231026356060239413E-01 -0.29930579394422986150E-02
          11          11   -0.16684493051013493670E-01  0.00000000000000000000E+00  0.11137964912232050096E+02  0.13616900636803341840E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.77800340266862444416E-01  0.11199080759447898714E+02  0.12384958757809788610E-01  0.18328045367479280786E-01 -0.60737311985740215572E-02
          12          12   -0.16726268214751694591E-01  0.00000000000000000000E+00  0.10325618441226001920E+02  0.12718790305737796231E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.86206897728699730110E-01  0.10395099070739949099E+02  0.13634814869718724431E-01  0.20206875782518222973E-01 -0.90070117732358543489E-02
          13          13   -0.16739293612315929438E-01  0.00000000000000000000E+00  0.95955801607484065840E+01  0.11881965437188068080E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.94412980927407949561E-01  0.96732538480634993050E+01  0.14827000999436890788E-01  0.21927406060026372742E-01 -0.11675050489878631768E-01
          14          14   -0.16659237297375451003E-01  0.00000000000000000000E+00  0.72417224317544066636E+01  0.90394873407881650706E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.12435186604481010542E+00  0.73494150605018413458E+01  0.17224426405079810987E-01  0.29261551317888507412E-01 -0.19023096653198338923E-01
