Micromagnetic energy calculation : BEMScript 2014
Mesh data:
18 July 2026  17:48:03
         Nodes    Tetrahedra   Bndry nodes   Bndry faces        Volume
          5017         26684          1102          2200  0.900094E-03
Material data:
      Temp (c)            Ms            K1        LamdaS        SigmaS          A_ex Vol^(1/3) (m)     QHardness   Lam_Ex (nm)      Kd V (J)
            20  0.488461E+06 -0.122085E+05  0.000000E+00  0.000000E+00  0.135143E-10  0.965523E-07 -0.814373E-01  0.949461E+01  0.134936E-15
External field direction (x, y, z) and strength B (T):
            hx            hy            hz         B (T)
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
Energies in units of Kd V:
Global-N-Eva      N-Eval              E-Anis                    E-Stress                     E-Exch1                     E-Exch2                     E-Exch3                     E-Exch4                       E-ext                     E-Demag                       E-Tot                          Mx                          My                          Mz
           1           1   -0.16447718492665779760E-01  0.00000000000000000000E+00  0.14761139694654362486E+02  0.17223661686993779085E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.50799752049797190778E-01  0.14795491728211493054E+02 -0.69100281878396122709E-03 -0.39392321910315707470E-02 -0.72141603214119086503E-03
           2           2   -0.16452287152705327017E-01  0.00000000000000000000E+00  0.14641352787514414047E+02  0.17104319771519012505E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.51728151360901947209E-01  0.14676628651722610996E+02 -0.68788681609118049361E-03 -0.40786181991468491853E-02 -0.80009393439799060717E-03
           3           3   -0.16457397812791731834E-01  0.00000000000000000000E+00  0.14520968877975901634E+02  0.16984222412368115585E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.52671706144524210735E-01  0.14557183186307634415E+02 -0.68059146250862637140E-03 -0.42188853808104494897E-02 -0.87692919749887969678E-03
           4           4   -0.16463000700627103412E-01  0.00000000000000000000E+00  0.14400056865175590914E+02  0.16863443770735290883E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.53630105260590983651E-01  0.14437223969735553553E+02 -0.66910170647005147524E-03 -0.43599906649746675638E-02 -0.95162175367492773947E-03
           5           5   -0.16469044823386718573E-01  0.00000000000000000000E+00  0.14278686368051356936E+02  0.16741968368463020056E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.54603018259613951557E-01  0.14316820341487584756E+02 -0.65343980609895550588E-03 -0.45018963253554509368E-02 -0.10239059606483938165E-02
           6           6   -0.16487713671889003830E-01  0.00000000000000000000E+00  0.13940477145182683216E+02  0.16403339139124319956E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.57356790202417899660E-01  0.13981346221713209843E+02 -0.58565443526363732130E-03 -0.48809099061689941237E-02 -0.12063778972099339654E-02
           7           7   -0.16508294750780548588E-01  0.00000000000000000000E+00  0.13601295523509058683E+02  0.16061452770657478339E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.60206479531198800470E-01  0.13644993708289476331E+02 -0.48969555848177889583E-03 -0.52638300884582352526E-02 -0.13645876378007267340E-02
           8           8   -0.16529936312951909461E-01  0.00000000000000000000E+00  0.13262612696674738189E+02  0.15717439474478394956E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.63142793316463066700E-01  0.13309225553678247778E+02 -0.37046827303121199638E-03 -0.56511658945737385309E-02 -0.14976200116694083492E-02
           9           9   -0.16551963380359149824E-01  0.00000000000000000000E+00  0.12925826040695156394E+02  0.15372521161492890940E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.66155713975232025015E-01  0.12975429791290029158E+02 -0.23414552188609228647E-03 -0.60437641988756209133E-02 -0.16064840057850881573E-02
          10          10   -0.16618735258858638448E-01  0.00000000000000000000E+00  0.11905058791776680138E+02  0.14320101102196746368E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.75738247609181838516E-01  0.11964178304127004893E+02  0.25099709676662784177E-03 -0.71561716631257012849E-02 -0.17853938060992616960E-02
          11          11   -0.16681338637887472426E-01  0.00000000000000000000E+00  0.10962298177059761173E+02  0.13315665833176954180E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.85487960717372676878E-01  0.11031104799139246353E+02  0.65437962063197708910E-03 -0.83563157488274353996E-02 -0.18343333086408165206E-02
          12          12   -0.16736991126442349320E-01  0.00000000000000000000E+00  0.10109415209619280418E+02  0.12372006269632711550E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.95149978536897508730E-01  0.10187828197029734412E+02  0.93119503902297647794E-03 -0.95814991675552997619E-02 -0.18251447968555391341E-02
          13          13   -0.16775568060881068666E-01  0.00000000000000000000E+00  0.93454541662641741340E+01  0.11495006049627869871E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.10455610859520705902E+00  0.94332347067985011790E+01  0.11370694934065399013E-02 -0.10735230326436275700E-01 -0.18054717663379070934E-02
          14          14   -0.16698602217340739046E-01  0.00000000000000000000E+00  0.68855694811861205551E+01  0.85026343962745940530E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.13919027132882921816E+00  0.70080611502976086769E+01  0.31097891098086456393E-02 -0.14042150655435528539E-01 -0.33289209656142209302E-02
          15          15   -0.16730572881013591052E-01  0.00000000000000000000E+00  0.54963234585908029572E+01  0.67063647503518453163E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.16155673848636104006E+00  0.56411496241961502918E+01  0.52394972254115402058E-02 -0.15954275732249140196E-01 -0.67848121257478941765E-02
          16          16   -0.16811466337357573037E-01  0.00000000000000000000E+00  0.45619350800962070736E+01  0.54790685342059974872E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17775441914084358364E+00  0.47228780328996942117E+01  0.76857702015951665300E-02 -0.17765557760561250661E-01 -0.10446600011808641201E-01
          17          17   -0.16848033893697458158E-01  0.00000000000000000000E+00  0.38711313517737857559E+01  0.45707620089004779018E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.19035697312600224906E+00  0.40446402910060896829E+01  0.10286177139770875943E-01 -0.20132059727564936141E-01 -0.13799061828633978760E-01
          18          18   -0.16728333413312396205E-01  0.00000000000000000000E+00  0.32806347274784410928E+01  0.34704436432768792642E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.21137521773022424632E+00  0.34752816117953528874E+01  0.45758989126738142464E-02 -0.33150525814747477948E-01 -0.19242849184080604297E-01
          19          19   -0.16677782337627334447E-01  0.00000000000000000000E+00  0.71999587266961118104E+01  0.82846167959105248002E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.12968570978219601253E+00  0.73129666541406814773E+01 -0.79343494647138284454E-02 -0.37028768083810725820E-01 -0.11768459982896687863E-01
          20          20   -0.16809559682377635259E-01  0.00000000000000000000E+00  0.30297957094590515226E+01  0.32093160816882044806E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.21411449812381841418E+00  0.32271006479004924472E+01  0.28453578201243839504E-02 -0.35656910034421444855E-01 -0.19664650875535403390E-01
          21          21   -0.16776864694711745435E-01  0.00000000000000000000E+00  0.25905320894837040591E+01  0.27612411275286810053E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.22024065590641220269E+00  0.27939958806954048320E+01  0.33855156089745391639E-02 -0.37781378913317432977E-01 -0.20607011478155915635E-01
          22          22   -0.16759302182906894718E-01  0.00000000000000000000E+00  0.22832092416831586412E+01  0.24487393281231168984E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.22466788793185230033E+00  0.24911178274321041926E+01  0.36811865927816379319E-02 -0.39690355322525280868E-01 -0.21359399754643793035E-01
          23          23   -0.16755061459362650261E-01  0.00000000000000000000E+00  0.20668636009642091800E+01  0.22267631790488153776E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.22788073012584786348E+00  0.22779892696306944799E+01  0.38274170254768953917E-02 -0.41388039552418716405E-01 -0.21976057093137019161E-01
          24          24   -0.16749700533374135836E-01  0.00000000000000000000E+00  0.16618140894424966447E+01  0.17974817359938415340E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.23428867684078333311E+00  0.18793530657499060155E+01  0.39343172344102738530E-02 -0.45726472424898995106E-01 -0.23232612080049983710E-01
          25          25   -0.16766649891596083211E-01  0.00000000000000000000E+00  0.14951130449085743290E+01  0.16126512841022637712E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.23697277949059208924E+00  0.17153191745075704322E+01  0.42196902532852537809E-02 -0.48620811897529293832E-01 -0.24776140800229138478E-01
          26          26   -0.16777589005428954899E-01  0.00000000000000000000E+00  0.13798713850424171312E+01  0.14816981834839453303E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.23852179177872351312E+00  0.16016155878157116721E+01  0.43224956609581310918E-02 -0.51348302795057608472E-01 -0.26175415723512767546E-01
          27          27   -0.16783539401573836780E-01  0.00000000000000000000E+00  0.12872703532802327597E+01  0.13766391519974217061E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.23942661440776982773E+00  0.15099134282864288270E+01  0.42434867844473329185E-02 -0.54022087992667812417E-01 -0.27556247815415466779E-01
          28          28   -0.16840609674120501915E-01  0.00000000000000000000E+00  0.11711353847825640706E+01  0.12399665231664740439E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.24019322721766928064E+00  0.13944880023261130297E+01  0.57628684143099795367E-02 -0.60399957412908100718E-01 -0.30812115198541580041E-01
          29          29   -0.16902958422414883499E-01  0.00000000000000000000E+00  0.15776715973990371733E+01  0.16521852335060629446E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.22045175272867631455E+00  0.17812203917052986668E+01  0.45373988845148552351E-02 -0.66855576698406457559E-01 -0.40385773147550076134E-01
          30          30   -0.16853189934245175335E-01  0.00000000000000000000E+00  0.11070493520312918445E+01  0.11709469016806577368E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.23996554312233195350E+00  0.13301617052193788204E+01  0.53700120409391430970E-02 -0.61946503850392742319E-01 -0.31924987535044108133E-01
