Micromagnetic energy calculation : BEMScript 2014
Mesh data:
18 July 2026  17:48:01
         Nodes    Tetrahedra   Bndry nodes   Bndry faces        Volume
          5017         26684          1102          2200  0.900094E-03
Material data:
      Temp (c)            Ms            K1        LamdaS        SigmaS          A_ex Vol^(1/3) (m)     QHardness   Lam_Ex (nm)      Kd V (J)
            20  0.488461E+06 -0.122085E+05  0.000000E+00  0.000000E+00  0.135143E-10  0.965523E-07 -0.814373E-01  0.949461E+01  0.134936E-15
External field direction (x, y, z) and strength B (T):
            hx            hy            hz         B (T)
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
Energies in units of Kd V:
Global-N-Eva      N-Eval              E-Anis                    E-Stress                     E-Exch1                     E-Exch2                     E-Exch3                     E-Exch4                       E-ext                     E-Demag                       E-Tot                          Mx                          My                          Mz
           1           1   -0.16580816445342410476E-01  0.00000000000000000000E+00  0.14726646350038802069E+02  0.17243744159334969623E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.51537813919298319787E-01  0.14761603347512757267E+02  0.10887192380433033129E-02 -0.35052085148932002334E-02 -0.22525010074975657342E-03
           2           2   -0.16570969129800966479E-01  0.00000000000000000000E+00  0.14611739937484232499E+02  0.17131909175070834550E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.52366344788620192152E-01  0.14647535313143050573E+02  0.10943191764315176803E-02 -0.35980753404634708420E-02 -0.28087197140197245251E-03
           3           3   -0.16560827281571717517E-01  0.00000000000000000000E+00  0.14496460385122130532E+02  0.17019481142313996003E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.53204892832884848053E-01  0.14533104450673445029E+02  0.10971516216597245515E-02 -0.36918241005458179993E-02 -0.34071055247978352960E-03
           4           4   -0.16550461049264296454E-01  0.00000000000000000000E+00  0.14380868927357704834E+02  0.16906408898996058809E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.54053055086837865917E-01  0.14418371521395279444E+02  0.10972906571251931328E-02 -0.37864186328268843729E-02 -0.40447071961512208417E-03
           5           5   -0.16539944889034190884E-01  0.00000000000000000000E+00  0.14265027858641111891E+02  0.16792744286676491328E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.54910411117594447317E-01  0.14303398324869672109E+02  0.10948070563756347878E-02 -0.38818090334915788218E-02 -0.47183836244295393643E-03
           6           6   -0.16510357680200121733E-01  0.00000000000000000000E+00  0.13942898685800585667E+02  0.16476354386638458749E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.57319494748912458437E-01  0.13983707822869297033E+02  0.10701514897177278295E-02 -0.41466728042736248142E-02 -0.68904336092534762895E-03
           7           7   -0.16481894488591559977E-01  0.00000000000000000000E+00  0.13621184372141181385E+02  0.16158116946901554201E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.59782602304829610129E-01  0.13664485079957417568E+02  0.10272111378502176652E-02 -0.44141851197216754391E-02 -0.92321438872858599661E-03
           8           8   -0.16455994234326191961E-01  0.00000000000000000000E+00  0.13301246843600933900E+02  0.15839295141079899665E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.62289568817686546964E-01  0.13347080418184292583E+02  0.96681120679367607909E-03 -0.46819026733271422447E-02 -0.11672416972406736858E-02
           9           9   -0.16433632388334364766E-01  0.00000000000000000000E+00  0.12984371197002845477E+02  0.15520809732610834075E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.64830316999738790695E-01  0.13032767881614249816E+02  0.88945197830476985506E-03 -0.49471312364399401204E-02 -0.14149014665978741460E-02
          10          10   -0.16389200287677586215E-01  0.00000000000000000000E+00  0.12028362488237707595E+02  0.14554688270161456387E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.72741901263819186418E-01  0.12084715189213849129E+02  0.52026128261507560008E-03 -0.56872243739960037096E-02 -0.22534988532095191413E-02
