Micromagnetic energy calculation : BEMScript 2014
Mesh data:
18 July 2026  17:48:43
         Nodes    Tetrahedra   Bndry nodes   Bndry faces        Volume
          5017         26684          1102          2200  0.900094E-03
Material data:
      Temp (c)            Ms            K1        LamdaS        SigmaS          A_ex Vol^(1/3) (m)     QHardness   Lam_Ex (nm)      Kd V (J)
            20  0.488461E+06 -0.122085E+05  0.000000E+00  0.000000E+00  0.135143E-10  0.965523E-07 -0.814373E-01  0.949461E+01  0.134936E-15
External field direction (x, y, z) and strength B (T):
            hx            hy            hz         B (T)
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
Energies in units of Kd V:
Global-N-Eva      N-Eval              E-Anis                    E-Stress                     E-Exch1                     E-Exch2                     E-Exch3                     E-Exch4                       E-ext                     E-Demag                       E-Tot                          Mx                          My                          Mz
           1           1   -0.16487296426689848627E-01  0.00000000000000000000E+00  0.14645737437766980449E+02  0.17138497834024679634E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.54498788145340891498E-01  0.14683748929485631152E+02  0.14086044690779723609E-02  0.11298711458071616573E-01 -0.34222469551161570529E-02
           2           2   -0.16495814952914585050E-01  0.00000000000000000000E+00  0.14527847087327135256E+02  0.17023361123719489285E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.55512100222067553568E-01  0.14566863372596289494E+02  0.12249447889027622900E-02  0.11480230028116333169E-01 -0.35977715563633816225E-02
           3           3   -0.16504301651512096744E-01  0.00000000000000000000E+00  0.14409515040203119796E+02  0.16907537481522332712E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.56543008914026929301E-01  0.14449553747465634146E+02  0.10365316556567841146E-02  0.11663056087595866095E-01 -0.37727389121268756385E-02
           4           4   -0.16512733520390326242E-01  0.00000000000000000000E+00  0.14290803456823162776E+02  0.16791125463328878453E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.57591195080312442001E-01  0.14331881918383084340E+02  0.84369657685488764955E-03  0.11847218985984363238E-01 -0.39469636421901599377E-02
           5           5   -0.16521091888579458179E-01  0.00000000000000000000E+00  0.14171775128797900578E+02  0.16674069612902812310E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.58656308869791166927E-01  0.14213910345779110500E+02  0.64679446654040896776E-03  0.12032733834708478002E-01 -0.41202931574379946314E-02
           6           6   -0.16544309276696360367E-01  0.00000000000000000000E+00  0.13840685411662198234E+02  0.16348127312112467280E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.61677273458241588244E-01  0.13885818375843742345E+02  0.88708285352669179018E-04  0.12550713864358471750E-01 -0.45861212233736748864E-02
           7           7   -0.16566819216402621506E-01  0.00000000000000000000E+00  0.13509540657838213562E+02  0.16019252226548246654E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.64810437693574779461E-01  0.13557784276315386407E+02 -0.48738056521986644750E-03  0.13076969576377875035E-01 -0.50428236480790445198E-02
           8           8   -0.16588834154753692718E-01  0.00000000000000000000E+00  0.13179689497481609450E+02  0.15688805417342924997E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.68044519356552743417E-01  0.13231145182683409445E+02 -0.10722722585391497065E-02  0.13609580441768664646E-01 -0.54919578723283150531E-02
           9           9   -0.16610733459968173714E-01  0.00000000000000000000E+00  0.12852419436220786864E+02  0.15357984784923162991E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.71366979975341512943E-01  0.12907175682736161448E+02 -0.16568497234565873408E-02  0.14145651602561907026E-01 -0.59367996185298796408E-02
          10          10   -0.16685491354434763001E-01  0.00000000000000000000E+00  0.11864661444064863005E+02  0.14352381507577950615E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.81927630152913488715E-01  0.11929903582863342848E+02 -0.33237755423722605518E-02  0.15759035779674555183E-01 -0.73007898774879922271E-02
