Micromagnetic energy calculation : BEMScript 2014
Mesh data:
18 July 2026  17:48:40
         Nodes    Tetrahedra   Bndry nodes   Bndry faces        Volume
          5017         26684          1102          2200  0.900094E-03
Material data:
      Temp (c)            Ms            K1        LamdaS        SigmaS          A_ex Vol^(1/3) (m)     QHardness   Lam_Ex (nm)      Kd V (J)
            20  0.488461E+06 -0.122085E+05  0.000000E+00  0.000000E+00  0.135143E-10  0.965523E-07 -0.814373E-01  0.949461E+01  0.134936E-15
External field direction (x, y, z) and strength B (T):
            hx            hy            hz         B (T)
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
Energies in units of Kd V:
Global-N-Eva      N-Eval              E-Anis                    E-Stress                     E-Exch1                     E-Exch2                     E-Exch3                     E-Exch4                       E-ext                     E-Demag                       E-Tot                          Mx                          My                          Mz
           1           1   -0.16530704874101957713E-01  0.00000000000000000000E+00  0.14581219938725594076E+02  0.17013828185066280696E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.52977375231726291094E-01  0.14617666609083217466E+02  0.88656061512089705257E-02  0.37265265843199222792E-02  0.44830564458284757196E-02
           2           2   -0.16532264689641081729E-01  0.00000000000000000000E+00  0.14461995287355753348E+02  0.16896663642215791867E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.53968461637888841265E-01  0.14499431484304000861E+02  0.90952527816178067865E-02  0.39416965637166815825E-02  0.47036640445211443454E-02
           3           3   -0.16533738414897893032E-01  0.00000000000000000000E+00  0.14342345790987886645E+02  0.16778861028186998539E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.54975842974268225583E-01  0.14380787895547255673E+02  0.93234216201378214417E-02  0.41579978339760853209E-02  0.49297787211955990117E-02
           4           4   -0.16535124235926290659E-01  0.00000000000000000000E+00  0.14222338975344234413E+02  0.16660439020096774243E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.55999109297661282814E-01  0.14261802960405969287E+02  0.95500910890446207707E-02  0.43749624927849435282E-02  0.51611099080876316619E-02
           5           5   -0.16536423036783955837E-01  0.00000000000000000000E+00  0.14102042548494342356E+02  0.16541366074620444948E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.57037819282382641595E-01  0.14142543944739941253E+02  0.97752560457178058057E-02  0.45921187558779306276E-02  0.53973421600082456540E-02
           6           6   -0.16539562428614252437E-01  0.00000000000000000000E+00  0.13767768602772681774E+02  0.16210090150636805362E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.59978247776745922948E-01  0.13811207288120812109E+02  0.10393276602524568336E-01  0.51971147563166430680E-02  0.60774845106317662222E-02
           7           7   -0.16542253727151606107E-01  0.00000000000000000000E+00  0.13433712028687711637E+02  0.15876274593848746619E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.63017872025276935877E-01  0.13480187646985838157E+02  0.11000871431753645596E-01  0.57896874041223614013E-02  0.67846789424597462453E-02
           8           8   -0.16544873992988401445E-01  0.00000000000000000000E+00  0.13101235115295830624E+02  0.15541449558107810702E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.66144021518240642132E-01  0.13150834262821083698E+02  0.11599308577279483778E-01  0.63605174118242695583E-02  0.75101433603538209419E-02
           9           9   -0.16547893435230373593E-01  0.00000000000000000000E+00  0.12771596056339102887E+02  0.15205822520956958854E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.69343194790936590888E-01  0.12824391357694809201E+02  0.12189966426505504521E-01  0.69013241241978034307E-02  0.82448390741286028960E-02
          10          10   -0.16564400251722132679E-01  0.00000000000000000000E+00  0.11777493966070203157E+02  0.14181439091236464733E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.79455153141802126182E-01  0.11840384718960281774E+02  0.14019244857520422876E-01  0.83798111705250862696E-02  0.10571673114778037950E-01
          11          11   -0.16586203736283312848E-01  0.00000000000000000000E+00  0.10862576686301325779E+02  0.13201976481631225724E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.89579596804312933145E-01  0.10935570079369353991E+02  0.15753863886926785381E-01  0.93585628958420055690E-02  0.12684430537031150463E-01
          12          12   -0.16591783770132810527E-01  0.00000000000000000000E+00  0.10036410810695208795E+02  0.12286463599153501391E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.99391895759735740534E-01  0.10119210922684812815E+02  0.17324599470823178610E-01  0.98784546722883049413E-02  0.14457330726917287655E-01
          13          13   -0.16574621814858591512E-01  0.00000000000000000000E+00  0.92985949267626981651E+01  0.11441392195688587563E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.10867291388315948597E+00  0.93906932188309983900E+01  0.18682286605675241936E-01  0.10071795580645874837E-01  0.15854682076252912121E-01
          14          14   -0.16448553373807822675E-01  0.00000000000000000000E+00  0.69818878267511532698E+01  0.86431006378873220797E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.13941827165324516269E+00  0.71048575450305904155E+01  0.22640612214467021462E-01  0.10391964933871403881E-01  0.19556656967177239725E-01
          15          15   -0.16510132273181495066E-01  0.00000000000000000000E+00  0.56848737197479675132E+01  0.69465162647555658282E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.15652367856970536564E+00  0.58248872660444908078E+01  0.26040677455724720035E-01  0.11915337085325680352E-01  0.20924920730901592353E-01
          16          16   -0.16569647966473862594E-01  0.00000000000000000000E+00  0.47690461936477799298E+01  0.57342356550176036833E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.16726179654437564603E+00  0.49197383422256821817E+01  0.28900818889492030372E-01  0.14718601340720180795E-01  0.22730651159950706480E-01
          17          17   -0.16579584619852379135E-01  0.00000000000000000000E+00  0.40677037899746943950E+01  0.48096115981179377030E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17470437856604684179E+00  0.42258285839208893364E+01  0.31167051894980171006E-01  0.17703569433072028488E-01  0.23592130178474880059E-01
          18          18   -0.16819043207279199548E-01  0.00000000000000000000E+00  0.36413861675455292399E+01  0.38737294921848808293E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17211935955232984807E+00  0.37966864838905802770E+01  0.48716632263451561946E-01  0.27749671761191439801E-01  0.20722990601920846659E-01
          19          19   -0.16433461940447421229E-01  0.00000000000000000000E+00  0.78822995969992533105E+01  0.92386984116298389580E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.11268338933397920032E+00  0.79785495243927844200E+01  0.30000710034142029359E-01  0.12127990627623772349E-01  0.22673939779031686975E-01
          20          20   -0.16754449452166735729E-01  0.00000000000000000000E+00  0.34046394411865827934E+01  0.36358784263771415368E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17095024364220334778E+00  0.35588352353766192770E+01  0.53502405533732116938E-01  0.29524572956920108052E-01  0.18098105456974288019E-01
          21          21   -0.16701133574855104441E-01  0.00000000000000000000E+00  0.28696854320121896187E+01  0.30884633933826832752E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17544395228543882559E+00  0.30284282507227735515E+01  0.57762500636689084743E-01  0.31219142808013609219E-01  0.17365863215297157318E-01
          22          22   -0.16680254618901685371E-01  0.00000000000000000000E+00  0.24975312207497308847E+01  0.27067175746019862537E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17841641656821582984E+00  0.26592673826990447239E+01  0.61502126931598462278E-01  0.32463297242332260495E-01  0.16552984992481513393E-01
          23          23   -0.16681898681277177593E-01  0.00000000000000000000E+00  0.22394343025416687532E+01  0.24381444013933362136E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18024403088098436831E+00  0.24029964347413756975E+01  0.64800563900831553710E-01  0.33369643884541229373E-01  0.15692757523694065430E-01
          24          24   -0.16676894325422072368E-01  0.00000000000000000000E+00  0.17809574692556005004E+01  0.19399414672392452097E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18243946381748915586E+00  0.19467200387476675250E+01  0.72431280518577181859E-01  0.34969368564189570736E-01  0.13334334757747406258E-01
          25          25   -0.16640129001830948619E-01  0.00000000000000000000E+00  0.15929866707490194511E+01  0.17246752909147085031E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18163123514319920448E+00  0.17579777768903877000E+01  0.78496184953363301595E-01  0.35699821119177722883E-01  0.11431046836691508006E-01
          26          26   -0.16612404879711339251E-01  0.00000000000000000000E+00  0.14630393941774173516E+01  0.15744077260119597739E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18011285984422698014E+00  0.16265398491419331695E+01  0.84371974328447382763E-01  0.36168994148045696679E-01  0.97694539857002167527E-02
          27          27   -0.16577415610118502454E-01  0.00000000000000000000E+00  0.13599899351400683845E+01  0.14562339340324614856E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17831523832126322526E+00  0.15217277578512131697E+01  0.90185989661833401709E-01  0.36372668642952500628E-01  0.81987212271804488922E-02
          28          28   -0.16521731098586834446E-01  0.00000000000000000000E+00  0.12304942173364592506E+01  0.12932671409371241378E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17161221012617935977E+00  0.13855846963640519043E+01  0.10967084301505723720E+00  0.36864403852272915885E-01  0.25155729306227496422E-02
          29          29   -0.16673169726617979164E-01  0.00000000000000000000E+00  0.16309932403286233615E+01  0.17382119023018987036E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.15017555426809248154E+00  0.17644956248700978119E+01  0.13899441419240751716E+00  0.41620166077946260663E-01 -0.42140688326533998556E-02
          30          30   -0.16529694242473174509E-01  0.00000000000000000000E+00  0.11693620810057747672E+01  0.12300491452682988935E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17020738650461089692E+00  0.13230397732679124445E+01  0.11386252055672914374E+00  0.36996591055714712903E-01  0.13679394479622112527E-02
          31          31   -0.16537111776984012024E-01  0.00000000000000000000E+00  0.11252525031695772562E+01  0.11857134235487889473E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.16956672301894187838E+00  0.12782821144115352752E+01  0.11602700966194147425E+00  0.37075813514850716746E-01  0.67735726685950092742E-03
          32          32   -0.16540034034062754686E-01  0.00000000000000000000E+00  0.10900268784619766560E+01  0.11496629402342422033E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.16887511333481050602E+00  0.12423619577627242894E+01  0.11821610603424934083E+00  0.37252922655047218670E-01  0.37220467677418743468E-04
          33          33   -0.16540765188978429068E-01  0.00000000000000000000E+00  0.10608787844665645839E+01  0.11190885928438309982E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.16815059960798783845E+00  0.12124886188855741320E+01  0.12040914578623343467E+00  0.37494214336712704261E-01 -0.56132444456023821225E-03
          34          34   -0.16563757655031891708E-01  0.00000000000000000000E+00  0.99080562491263635128E+00  0.10451036216106053267E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.16607159350789083008E+00  0.11403134607654954458E+01  0.12660122464323023128E+00  0.38088048322763225217E-01 -0.20274116164964756277E-02
          35          35   -0.16582561966172516127E-01  0.00000000000000000000E+00  0.94674873081325372493E+00  0.99743483468513771673E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.16410289974629146958E+00  0.10942690685933726957E+01  0.13248293005184899607E+00  0.38869306178037209276E-01 -0.33668261027162576550E-02
          36          36   -0.16609537832691635001E-01  0.00000000000000000000E+00  0.91004709801620264908E+00  0.95669903937074440847E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.16217784825655129355E+00  0.10556154084400621862E+01  0.13820624607602674527E+00  0.39727551495601115539E-01 -0.46059074224762278429E-02
          37          37   -0.16640065284266765400E-01  0.00000000000000000000E+00  0.87727199428355762123E+00  0.92056585917805566766E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.16029485265122248028E+00  0.10209267816505132043E+01  0.14382769990910027058E+00  0.40641978354270677509E-01 -0.57993697120608429796E-02
          38          38   -0.16727285298602921626E-01  0.00000000000000000000E+00  0.85270787935346625819E+00  0.89393045829801554003E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.15455186575072538124E+00  0.99053245980558868311E+00  0.15978401005028747273E+00  0.42690062043223342414E-01 -0.76996458698578807908E-02
