Micromagnetic energy calculation : BEMScript 2014
Mesh data:
18 July 2026  17:48:31
         Nodes    Tetrahedra   Bndry nodes   Bndry faces        Volume
          5017         26684          1102          2200  0.900094E-03
Material data:
      Temp (c)            Ms            K1        LamdaS        SigmaS          A_ex Vol^(1/3) (m)     QHardness   Lam_Ex (nm)      Kd V (J)
            20  0.488461E+06 -0.122085E+05  0.000000E+00  0.000000E+00  0.135143E-10  0.965523E-07 -0.814373E-01  0.949461E+01  0.134936E-15
External field direction (x, y, z) and strength B (T):
            hx            hy            hz         B (T)
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
Energies in units of Kd V:
Global-N-Eva      N-Eval              E-Anis                    E-Stress                     E-Exch1                     E-Exch2                     E-Exch3                     E-Exch4                       E-ext                     E-Demag                       E-Tot                          Mx                          My                          Mz
           1           1   -0.16633475540704371898E-01  0.00000000000000000000E+00  0.14668681206997124633E+02  0.17146902218572250831E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.52079962949277740225E-01  0.14704127694405698890E+02  0.15316705914186663773E-02  0.85579125793381460169E-02  0.11309941837194952691E-01
           2           2   -0.16638136741550707542E-01  0.00000000000000000000E+00  0.14547196141231404809E+02  0.17029180787997617585E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.53009865388492144467E-01  0.14583567869878345746E+02  0.16227001565045978335E-02  0.88587092956032460755E-02  0.11495707207199676661E-01
           3           3   -0.16642466386905186565E-01  0.00000000000000000000E+00  0.14425226107308192880E+02  0.16910841351300817337E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.53953456462852530939E-01  0.14462537097384140949E+02  0.17191108426418630090E-02  0.91617121250475337668E-02  0.11680989608511870362E-01
           4           4   -0.16646464211020617352E-01  0.00000000000000000000E+00  0.14302848757904961019E+02  0.16791937407567303353E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.54910317953414153336E-01  0.14341112611647355735E+02  0.18207481630889497514E-02  0.94667807236977676716E-02  0.11865646723476319310E-01
           5           5   -0.16650132336118100146E-01  0.00000000000000000000E+00  0.14180142803081835723E+02  0.16672504034094128400E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.55880002768197031826E-01  0.14219372673513914762E+02  0.19274390051489339887E-02  0.97737984025617601763E-02  0.12049539667819700317E-01
           6           6   -0.16658745794127367140E-01  0.00000000000000000000E+00  0.13838737624589628084E+02  0.16340149811941813596E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.58618342862866060217E-01  0.13880697221658367724E+02  0.22582256280596511508E-02  0.10618099901951144615E-01  0.12533769466861884381E-01
           7           7   -0.16664925310978555978E-01  0.00000000000000000000E+00  0.13497675352722513509E+02  0.16005902942857101579E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.61435923187820158653E-01  0.13542446350599355753E+02  0.26223813942005168645E-02  0.11473290794755140742E-01  0.13007517899602373188E-01
           8           8   -0.16668946417048816078E-01  0.00000000000000000000E+00  0.13158620127949596679E+02  0.15671162717966344857E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.64320349665577619680E-01  0.13206271531198126468E+02  0.30145504857081134413E-02  0.12340030593952359614E-01  0.13469629236566417821E-01
           9           9   -0.16671198280949411225E-01  0.00000000000000000000E+00  0.12823120509937886879E+02  0.15336891610457495716E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.67258617935066308813E-01  0.12873707929592004717E+02  0.34293668061817213048E-02  0.13219888505721024904E-01  0.13919867004840560942E-01
          10          10   -0.16672056659799476541E-01  0.00000000000000000000E+00  0.11816585318707897301E+02  0.14327260526257378004E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.76466500297003803244E-01  0.11876379762345100843E+02  0.49206700660657633553E-02  0.15893744385214660098E-01  0.15104018691446986777E-01
          11          11   -0.16673785688586382353E-01  0.00000000000000000000E+00  0.10904176013063628048E+02  0.13374078043282652928E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.85561758451947036996E-01  0.10973063985826987832E+02  0.64060555025162099763E-02  0.18690688356677059856E-01  0.16298771963388806322E-01
          12          12   -0.16681037660391702382E-01  0.00000000000000000000E+00  0.10091403046407963373E+02  0.12485685095210159901E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.94296558203558408784E-01  0.10169018566951130822E+02  0.77776801645924372591E-02  0.21588158536461250075E-01  0.17546934156004997257E-01
          13          13   -0.16698001280571056482E-01  0.00000000000000000000E+00  0.93709538050394396436E+01  0.11664280419889406559E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.10254364587349575066E+00  0.94567994496323652953E+01  0.90045351292832778028E-02  0.24533985563046145639E-01  0.18790800929595546237E-01
          14          14   -0.16829950292867806166E-01  0.00000000000000000000E+00  0.70660871164636631647E+01  0.88226831503335549911E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.13183818505141173261E+00  0.71810953512222077677E+01  0.12478612831681747813E-01  0.34326978748306903599E-01  0.20776701540486216396E-01
