Micromagnetic energy calculation : BEMScript 2014
Mesh data:
18 July 2026  17:48:32
         Nodes    Tetrahedra   Bndry nodes   Bndry faces        Volume
          5017         26684          1102          2200  0.900094E-03
Material data:
      Temp (c)            Ms            K1        LamdaS        SigmaS          A_ex Vol^(1/3) (m)     QHardness   Lam_Ex (nm)      Kd V (J)
            20  0.488461E+06 -0.122085E+05  0.000000E+00  0.000000E+00  0.135143E-10  0.965523E-07 -0.814373E-01  0.949461E+01  0.134936E-15
External field direction (x, y, z) and strength B (T):
            hx            hy            hz         B (T)
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
Energies in units of Kd V:
Global-N-Eva      N-Eval              E-Anis                    E-Stress                     E-Exch1                     E-Exch2                     E-Exch3                     E-Exch4                       E-ext                     E-Demag                       E-Tot                          Mx                          My                          Mz
           1           1   -0.16391138278233852166E-01  0.00000000000000000000E+00  0.14659779245637620804E+02  0.17121349970693056974E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.52582849184993930847E-01  0.14695970956544380570E+02  0.10653891792104377284E-01  0.35003746347048855445E-02 -0.44837512280249047433E-02
           2           2   -0.16391779917375674108E-01  0.00000000000000000000E+00  0.14539802303830654751E+02  0.17001905970654519251E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.53553460280441986252E-01  0.14576963984193721302E+02  0.11026932482356881574E-01  0.36094333354574378685E-02 -0.44092420288720096666E-02
           3           3   -0.16392977458788617756E-01  0.00000000000000000000E+00  0.14419387531069252972E+02  0.16881808092005389454E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.54539511801147994019E-01  0.14457534065411612900E+02  0.11406741589113001192E-01  0.37157315142167818972E-02 -0.43367167515961689908E-02
           4           4   -0.16394751283218399196E-01  0.00000000000000000000E+00  0.14298602146294868476E+02  0.16761041433528212963E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.55540623002399404362E-01  0.14337748018014050189E+02  0.11793275375398948671E-01  0.38191932701415040249E-02 -0.42663801866054638923E-02
           5           5   -0.16397115231974040972E-01  0.00000000000000000000E+00  0.14177513677716758522E+02  0.16639645735141979088E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.56556388662991480265E-01  0.14217672951147775962E+02  0.12186476609592928125E-01  0.39197542908873785408E-02 -0.41984109285907473402E-02
           6           6   -0.16406682669134781127E-01  0.00000000000000000000E+00  0.13840849870945577393E+02  0.16302003462169675885E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.59429447927709003197E-01  0.13883872636204150908E+02  0.13308766676291350697E-01  0.41894119712466799596E-02 -0.40266032351405816117E-02
           7           7   -0.16420648932540096721E-01  0.00000000000000000000E+00  0.13504333250192301463E+02  0.15962587246963947152E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.62397121205865248295E-01  0.13550309722465627260E+02  0.14476946307821784640E-01  0.44349241832515188047E-02 -0.38752224022130877037E-02
           8           8   -0.16438291983741089297E-01  0.00000000000000000000E+00  0.13169334232707123888E+02  0.15622513981858437759E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.65448398252110559503E-01  0.13218344338975493102E+02  0.15687204594708865218E-01  0.46566900177910037009E-02 -0.37441484458716860206E-02
           9           9   -0.16458463305904579010E-01  0.00000000000000000000E+00  0.12837122308603383658E+02  0.15282458351814657505E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.68571737232026003239E-01  0.12889235582529506630E+02  0.16934694082366603257E-01  0.48560703926469024963E-02 -0.36315412735415594780E-02
          10          10   -0.16523625627531814825E-01  0.00000000000000000000E+00  0.11834333046708263026E+02  0.14244925115755352252E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.78463051754191187603E-01  0.11896272472834921174E+02  0.20922236597380891587E-01  0.54198946429885206874E-02 -0.33656152176530567885E-02
          11          11   -0.16575164224854391920E-01  0.00000000000000000000E+00  0.10910025712173759160E+02  0.13253262953747112718E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.88452939857692744474E-01  0.10981903487806597752E+02  0.24942405223639052547E-01  0.59090945900759144979E-02 -0.30803972491815017308E-02
          12          12   -0.16608870679245289759E-01  0.00000000000000000000E+00  0.10071801343132332107E+02  0.12321777469713556030E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.98260986428131177894E-01  0.10153453458881218197E+02  0.28928817253356130246E-01  0.64599669095748166528E-02 -0.26573481389978643487E-02
          13          13   -0.16617232413458138396E-01  0.00000000000000000000E+00  0.93185029742746845471E+01  0.11455741488643585768E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.10767496659473715925E+00  0.94095607084559631517E+01  0.32898461625902430949E-01  0.71499455823568975124E-02 -0.20686658113093282264E-02
