Micromagnetic energy calculation : BEMScript 2014
Mesh data:
18 July 2026  17:48:42
         Nodes    Tetrahedra   Bndry nodes   Bndry faces        Volume
          5017         26684          1102          2200  0.900094E-03
Material data:
      Temp (c)            Ms            K1        LamdaS        SigmaS          A_ex Vol^(1/3) (m)     QHardness   Lam_Ex (nm)      Kd V (J)
            20  0.488461E+06 -0.122085E+05  0.000000E+00  0.000000E+00  0.135143E-10  0.965523E-07 -0.814373E-01  0.949461E+01  0.134936E-15
External field direction (x, y, z) and strength B (T):
            hx            hy            hz         B (T)
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
Energies in units of Kd V:
Global-N-Eva      N-Eval              E-Anis                    E-Stress                     E-Exch1                     E-Exch2                     E-Exch3                     E-Exch4                       E-ext                     E-Demag                       E-Tot                          Mx                          My                          Mz
           1           1   -0.16758459678103618251E-01  0.00000000000000000000E+00  0.14716683928777941404E+02  0.17147317034552870041E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.50687669161010223684E-01  0.14750613138260847634E+02 -0.38886734368341656712E-02  0.21186399984124996629E-02 -0.11043449653253411755E-01
           2           2   -0.16763076151273832021E-01  0.00000000000000000000E+00  0.14596737831262238672E+02  0.17028174747326922045E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.51606701073574887118E-01  0.14631581456184541423E+02 -0.39351462265684467728E-02  0.23555714692775728443E-02 -0.11215662822433285911E-01
           3           3   -0.16767071851080138367E-01  0.00000000000000000000E+00  0.14476219836960956044E+02  0.16908168796424664748E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.52542318571719870413E-01  0.14511995083681595631E+02 -0.39771830465811543187E-02  0.26011767056113542507E-02 -0.11390340369489031919E-01
           4           4   -0.16770454660626828158E-01  0.00000000000000000000E+00  0.14355196777058512936E+02  0.16787376638711041466E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.53494214072486730160E-01  0.14391920536470372838E+02 -0.40147871515102111911E-02  0.28554744729320491979E-02 -0.11567437006400820704E-01
           5           5   -0.16773235911275691246E-01  0.00000000000000000000E+00  0.14233736720138340459E+02  0.16665817195151369390E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.54462046627005419874E-01  0.14271425530854070729E+02 -0.40479736622332429183E-02  0.31184727575210976699E-02 -0.11746889854981431081E-01
           6           6   -0.16778032780581705191E-01  0.00000000000000000000E+00  0.13895360723032663230E+02  0.16326594680995260234E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.57209483579413127063E-01  0.13935792173831494267E+02 -0.41133611852343342219E-02  0.38923169321105344221E-02 -0.12242081480043067940E-01
           7           7   -0.16778695474662288362E-01  0.00000000000000000000E+00  0.13556179843707219845E+02  0.15983813297113403706E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.60062133777786026745E-01  0.13599463282010344045E+02 -0.41458838589628101146E-02  0.47305025452728235655E-02 -0.12750878356046666320E-01
           8           8   -0.16775892675097124618E-01  0.00000000000000000000E+00  0.13217660203741273151E+02  0.15639197295008886002E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.63009168550657926322E-01  0.13263893479616832849E+02 -0.41463682403868338047E-02  0.56321261851218088271E-02 -0.13270399824722750592E-01
           9           9   -0.16770391779345542038E-01  0.00000000000000000000E+00  0.12881174312809086757E+02  0.15293768979709170708E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.66038888168301987380E-01  0.12930442809198043008E+02 -0.41151745163324282908E-02  0.65962753369191761202E-02 -0.13797878593788746870E-01
          10          10   -0.16742406381326679909E-01  0.00000000000000000000E+00  0.11861177278878674457E+02  0.14240430939720383208E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.75684484190120832059E-01  0.11920119356687468581E+02 -0.37760296283088257314E-02  0.99409857324976071136E-02 -0.15316252414446089244E-01
          11          11   -0.16700817183843547770E-01  0.00000000000000000000E+00  0.10916743224404497070E+02  0.13232455638930254338E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.85495202077265769480E-01  0.10985537609297919559E+02 -0.31344473504643600645E-02  0.13774841052904768582E-01 -0.16877982097444597237E-01
          12          12   -0.16650619388601833187E-01  0.00000000000000000000E+00  0.10058263861532799055E+02  0.12279882405574452875E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.95181962104352077492E-01  0.10136795204248549851E+02 -0.22199323020807800767E-02  0.18051015223304774093E-01 -0.18564903205907680450E-01
          13          13   -0.16609679725799995215E-01  0.00000000000000000000E+00  0.92856325717026386712E+01  0.11392528385840591909E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.10453256945353843477E+00  0.93735554614303762122E+01 -0.10760544964469880187E-02  0.22689941088563415211E-01 -0.20441552611133055606E-01
          14          14   -0.16508465164107876538E-01  0.00000000000000000000E+00  0.68577771131889173617E+01  0.84648557404371391755E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.13750232613940949200E+00  0.69787709741642185435E+01  0.58094623358651027029E-02  0.42163890094829792332E-01 -0.28274430572762829922E-01
          15          15   -0.16452025665184628195E-01  0.00000000000000000000E+00  0.55209834940744020315E+01  0.67350683941799092125E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.15799946470453155034E+00  0.56625309331137483326E+01  0.10859654483523018334E-01  0.59717357772691180562E-01 -0.38187168716385458400E-01
          16          16   -0.16494961685440307636E-01  0.00000000000000000000E+00  0.46130403713205563321E+01  0.55429404709751572966E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17155175289311158648E+00  0.47680971625282273507E+01  0.14903355505436040318E-01  0.74608760042738517249E-01 -0.48050517934239027340E-01
          17          17   -0.16593934038058196639E-01  0.00000000000000000000E+00  0.39458686262880258155E+01  0.46677401873641750640E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18036360397340486794E+00  0.41096382962233724001E+01  0.17959369469587142809E-01  0.87224203795212937318E-01 -0.58231522437483029808E-01
          18          18   -0.16882330022885021215E-01  0.00000000000000000000E+00  0.36147192379146368957E+01  0.39237546213516503180E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17873016156109738928E+00  0.37765670694528492568E+01  0.30687193165458821753E-01  0.11807031725429903424E+00 -0.85772658921423494682E-01
          19          19   -0.16591191482302310861E-01  0.00000000000000000000E+00  0.78803503656852802450E+01  0.92510363452833210829E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.10948816928487681288E+00  0.79732473434878547991E+01  0.33238321883988529437E-01  0.10890272502822086198E+00 -0.66173045880509512306E-01
          20          20   -0.16900203304288635014E-01  0.00000000000000000000E+00  0.34028295906230843215E+01  0.37108919783749252375E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17749347900710366055E+00  0.35634228663258995518E+01  0.34716058690855360058E-01  0.12521546447631032306E+00 -0.91634075481125301654E-01
          21          21   -0.16921238449600310011E-01  0.00000000000000000000E+00  0.29332117952522298587E+01  0.32201507533231774616E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18129687196806035243E+00  0.30975874287706903765E+01  0.38041759030921808160E-01  0.12924179402436836162E+00 -0.96236169303515931017E-01
          22          22   -0.16944123659512585339E-01  0.00000000000000000000E+00  0.26024329425962147155E+01  0.28726627813237359810E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18374064254881894431E+00  0.27692294614855210710E+01  0.41145437561280084893E-01  0.13277363885119933262E+00 -0.10024636724286206668E+00
          23          23   -0.16967528402456310416E-01  0.00000000000000000000E+00  0.23681340462650610768E+01  0.26225983941939072785E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18525264540378183487E+00  0.25364191632663861675E+01  0.43979141868027288309E-01  0.13597373726888664636E+00 -0.10384775104670873613E+00
          24          24   -0.17048943691745976903E-01  0.00000000000000000000E+00  0.19220904516742718382E+01  0.21192930038153119376E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18759618104134911931E+00  0.20926376890238751471E+01  0.51355799463528875592E-01  0.14437730881621149703E+00 -0.11366024228819314457E+00
          25          25   -0.17052646452387201781E-01  0.00000000000000000000E+00  0.17389357536928002901E+01  0.19066879448292202159E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18731156769449555655E+00  0.19091946749349084644E+01  0.56716105806680294776E-01  0.15218853471503948627E+00 -0.12123772146428277163E+00
          26          26   -0.17028496040991519811E-01  0.00000000000000000000E+00  0.16127886946147877989E+01  0.17600142650079768636E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18658321933976446116E+00  0.17823434179135606570E+01  0.61844662485182042011E-01  0.15967404670219270679E+00 -0.12767819244359329689E+00
          27          27   -0.16997976833646729483E-01  0.00000000000000000000E+00  0.15117709696520544860E+01  0.16436828242889360840E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18574182764464364226E+00  0.16805148204630513398E+01  0.66913279407269668497E-01  0.16695064992729041764E+00 -0.13325985680202429018E+00
          28          28   -0.16926746824485947723E-01  0.00000000000000000000E+00  0.14499312331164140311E+01  0.15743645416044707019E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18017995420880597579E+00  0.16131844405007340626E+01  0.86848258138308195853E-01  0.19042606270731099460E+00 -0.14621620035323398823E+00
          29          29   -0.17039032260347759806E-01  0.00000000000000000000E+00  0.25003683074861622337E+01  0.27796518210793923487E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.14934197633355253410E+00  0.26326712515593673203E+01  0.10921778508801695262E+00  0.23329512202669772103E+00 -0.16854353732225693663E+00
          30          30   -0.16910620662106412571E-01  0.00000000000000000000E+00  0.13760852942519099518E+01  0.14954320470940376531E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17932558792689518024E+00  0.15385002615166984974E+01  0.91659602681091814635E-01  0.19697998413091916126E+00 -0.14958054008852078587E+00
          31          31   -0.16925749479935199571E-01  0.00000000000000000000E+00  0.13121110032948570812E+01  0.14260947392343512607E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17949279547728050344E+00  0.14746780492922022532E+01  0.93901899825474546835E-01  0.19956800510272745819E+00 -0.15084302046442937817E+00
          32          32   -0.16941680168603694134E-01  0.00000000000000000000E+00  0.12612334808143776943E+01  0.13709164919187268872E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17955009642956082372E+00  0.14238418970753348169E+01  0.96025266654002766620E-01  0.20208173202321907946E+00 -0.15206291265524654599E+00
          33          33   -0.16952967558137077564E-01  0.00000000000000000000E+00  0.12197467023443022693E+01  0.13256220743578890353E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17953140851054044669E+00  0.13823251432967054164E+01  0.98095295768771406664E-01  0.20455511523558894682E+00 -0.15326290178212595428E+00
          34          34   -0.16962050216695463006E-01  0.00000000000000000000E+00  0.11179253174719241404E+01  0.12041799565063147082E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17962294472830647729E+00  0.12805862119835353941E+01  0.10436796415777639668E+00  0.21108405387867754111E+00 -0.15635021176454449998E+00
          35          35   -0.17007038372468790549E-01  0.00000000000000000000E+00  0.10584144848731269484E+01  0.11334072098926164518E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17951224054327299950E+00  0.12209196870439311677E+01  0.11067215684250157615E+00  0.21814625997023776027E+00 -0.15883097715981495113E+00
          36          36   -0.17058384185357707702E-01  0.00000000000000000000E+00  0.10105393280722672067E+01  0.10779368429939779617E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17932010406399714886E+00  0.11728010479509067832E+01  0.11688072720391275150E+00  0.22541949083535681164E+00 -0.16097594566792219895E+00
          37          37   -0.17123515579580524809E-01  0.00000000000000000000E+00  0.96780443020482109784E+00  0.10287921154971193527E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17910179061338371564E+00  0.11297827052386242297E+01  0.12303257609445546195E+00  0.23275016191638353558E+00 -0.16290860337257570545E+00
          38          38   -0.17322930752044243125E-01  0.00000000000000000000E+00  0.93641517396448814559E+00  0.98659803818780122953E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17715460872444677154E+00  0.10962468519368908648E+01  0.14033136439072319002E+00  0.25574863807647646441E+00 -0.16977609453048417287E+00
          39          39   -0.17460953280339735344E-01  0.00000000000000000000E+00  0.13898779347603738010E+01  0.14961891908909279447E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.16117839362702823802E+00  0.15335953751070623419E+01  0.16193942850431644609E+00  0.29742505139920183410E+00 -0.18431728943710201651E+00
          40          40   -0.17363870319727546521E-01  0.00000000000000000000E+00  0.89569961492564564853E+00  0.94336119490221115313E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17676038093477702828E+00  0.10550961255406952066E+01  0.14482488615371613694E+00  0.26172150765352930613E+00 -0.17142357591620829838E+00
