Micromagnetic energy calculation : BEMScript 2014
Mesh data:
18 July 2026  17:48:42
         Nodes    Tetrahedra   Bndry nodes   Bndry faces        Volume
          5017         26684          1102          2200  0.900094E-03
Material data:
      Temp (c)            Ms            K1        LamdaS        SigmaS          A_ex Vol^(1/3) (m)     QHardness   Lam_Ex (nm)      Kd V (J)
            20  0.488461E+06 -0.122085E+05  0.000000E+00  0.000000E+00  0.135143E-10  0.965523E-07 -0.814373E-01  0.949461E+01  0.134936E-15
External field direction (x, y, z) and strength B (T):
            hx            hy            hz         B (T)
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
Energies in units of Kd V:
Global-N-Eva      N-Eval              E-Anis                    E-Stress                     E-Exch1                     E-Exch2                     E-Exch3                     E-Exch4                       E-ext                     E-Demag                       E-Tot                          Mx                          My                          Mz
           1           1   -0.16568071758106445862E-01  0.00000000000000000000E+00  0.14686832376158548641E+02  0.17178366651277407584E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.51303575078781783747E-01  0.14721567879479223961E+02 -0.20441623651209291264E-02 -0.21284208563908113554E-02  0.23213345970414587909E-02
           2           2   -0.16568998526269151234E-01  0.00000000000000000000E+00  0.14570779568364567780E+02  0.17065570419532630098E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.52259433067824538621E-01  0.14606470002906124961E+02 -0.21186177718180870290E-02 -0.21170768126172910192E-02  0.22908850063907810167E-02
           3           3   -0.16569722927600540052E-01  0.00000000000000000000E+00  0.14454423770292160967E+02  0.16952105298473981065E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.53231455223899312723E-01  0.14491085502588459732E+02 -0.21910206165436916549E-02 -0.21061235949598978642E-02  0.22572569443725940333E-02
           4           4   -0.16570235041886972188E-01  0.00000000000000000000E+00  0.14337825923913696258E+02  0.16837968833345929198E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.54219271514086370134E-01  0.14375474960385897560E+02 -0.22614072198491397617E-02 -0.20958235697535717093E-02  0.22204530835645227595E-02
           5           5   -0.16570529768174666746E-01  0.00000000000000000000E+00  0.14221046653927238879E+02  0.16723175932627103890E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.55222479485902642438E-01  0.14259698603644965331E+02 -0.23298298082712609602E-02 -0.20864449844794213940E-02  0.21804931672072809350E-02
           6           6   -0.16569958121827588898E-01  0.00000000000000000000E+00  0.13896922194858742472E+02  0.16403682210619894732E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.58065318368395610338E-01  0.13938417555105312218E+02 -0.25126210321516559421E-02 -0.20684931969638668987E-02  0.20585863210897691923E-02
           7           7   -0.16567913651705810929E-01  0.00000000000000000000E+00  0.13573615702213373879E+02  0.16082405789178903177E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.61008040075285277504E-01  0.13618055828636952853E+02 -0.26820255745880613660E-02 -0.20650126045856334774E-02  0.19138364424870766330E-02
           8           8   -0.16564882692094752559E-01  0.00000000000000000000E+00  0.13252317209971050005E+02  0.15760304806444333181E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.64038530826334288948E-01  0.13299790858105289715E+02 -0.28408823575706257554E-02 -0.20811975178975489729E-02  0.17493692904411801883E-02
           9           9   -0.16561580879809773004E-01  0.00000000000000000000E+00  0.12934128272333689225E+02  0.15438542214018236010E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.67143655133947779956E-01  0.12984710346587826635E+02 -0.29925982647469695323E-02 -0.21211869957688637978E-02  0.15696464063317332963E-02
          10          10   -0.16559786969892520414E-01  0.00000000000000000000E+00  0.11975672308788691822E+02  0.14460277395525196198E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.76979470058534685273E-01  0.12036091991877333029E+02 -0.34730887026828949869E-02 -0.24060863521989340683E-02  0.98886860972551178517E-03
          11          11   -0.16593215486604258324E-01  0.00000000000000000000E+00  0.11094586016011149354E+02  0.13529035054287602335E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.86856392099638662918E-01  0.11164849192624183516E+02 -0.40342009941922683802E-02 -0.28975650970913227784E-02  0.42784095093221645749E-03
          12          12   -0.16653547436591406572E-01  0.00000000000000000000E+00  0.10297282274960457116E+02  0.12654216257038180871E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.96474527284009167771E-01  0.10377103254807876098E+02 -0.47774386924334362806E-02 -0.35532774290588644769E-02 -0.45655729207789423239E-04
          13          13   -0.16707789178793851920E-01  0.00000000000000000000E+00  0.95804187945589234232E+01  0.11837486972139142694E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.10565577903835390861E+00  0.96693667844184840732E+01 -0.57617984768366372825E-02 -0.43946354891066232926E-02 -0.40653348678863353727E-03
          14          14   -0.16637634222203549067E-01  0.00000000000000000000E+00  0.72179831088388635152E+01  0.89912907355308391288E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.13887737227106222715E+00  0.73402228468877224188E+01 -0.12082797400773056390E-01 -0.90843317186573620953E-02 -0.31663059945754037060E-02
          15          15   -0.16673218289439392659E-01  0.00000000000000000000E+00  0.58834721924704229679E+01  0.72380524681354660999E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.15853451495523473991E+00  0.60253334891362193559E+01 -0.16937144020896757746E-01 -0.16719863475934470393E-01 -0.46114341828102627802E-02
          16          16   -0.16736610885935150617E-01  0.00000000000000000000E+00  0.49569914396444465510E+01  0.59962715285977630231E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17035019404233142648E+00  0.51106050228008426117E+01 -0.22823783020699112828E-01 -0.25400055277793834319E-01 -0.51591996822085315830E-02
          17          17   -0.16752044247601068777E-01  0.00000000000000000000E+00  0.42579479862096780707E+01  0.50744742989158950763E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17772059804994796983E+00  0.44189165400120256066E+01 -0.29178431222006553231E-01 -0.34475810992310569614E-01 -0.55724841566905823284E-02
          18          18   -0.16708997206825351722E-01  0.00000000000000000000E+00  0.39867071258516233456E+01  0.43530246432562877956E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17471099564315817343E+00  0.41447091242879565698E+01 -0.48611925602950169234E-01 -0.54004866132927181743E-01 -0.30312368976726463722E-02
