Micromagnetic energy calculation : BEMScript 2014
Mesh data:
18 July 2026  17:48:38
         Nodes    Tetrahedra   Bndry nodes   Bndry faces        Volume
          5017         26684          1102          2200  0.900094E-03
Material data:
      Temp (c)            Ms            K1        LamdaS        SigmaS          A_ex Vol^(1/3) (m)     QHardness   Lam_Ex (nm)      Kd V (J)
            20  0.488461E+06 -0.122085E+05  0.000000E+00  0.000000E+00  0.135143E-10  0.965523E-07 -0.814373E-01  0.949461E+01  0.134936E-15
External field direction (x, y, z) and strength B (T):
            hx            hy            hz         B (T)
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
Energies in units of Kd V:
Global-N-Eva      N-Eval              E-Anis                    E-Stress                     E-Exch1                     E-Exch2                     E-Exch3                     E-Exch4                       E-ext                     E-Demag                       E-Tot                          Mx                          My                          Mz
           1           1   -0.16400081600695198825E-01  0.00000000000000000000E+00  0.14669536226463891992E+02  0.17136767073088861935E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.52443728094203827250E-01  0.14705579872957398990E+02 -0.46129846833607504597E-02 -0.10982706381146241370E-01  0.26214198150779525337E-01
           2           2   -0.16403869435802888310E-01  0.00000000000000000000E+00  0.14553216137271620667E+02  0.17023603090943399962E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.53404172173451947003E-01  0.14590216440009271537E+02 -0.45427386161111336232E-02 -0.11260758437120953201E-01  0.26736327948552563588E-01
           3           3   -0.16408034024048407523E-01  0.00000000000000000000E+00  0.14436468460845816253E+02  0.16909889342518827249E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.54382468286877989894E-01  0.14474442895108644791E+02 -0.44645582722695571418E-02 -0.11542795393380756580E-01  0.27262213877096423686E-01
           4           4   -0.16412561821641830084E-01  0.00000000000000000000E+00  0.14319356786573814944E+02  0.16795682066422912726E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.55378305203988474614E-01  0.14358322529956161873E+02 -0.43782546199037731052E-02 -0.11828667907027018771E-01  0.27791539409200118754E-01
           5           5   -0.16417432657118473383E-01  0.00000000000000000000E+00  0.14201945729668450369E+02  0.16680955656662973752E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.56391335430947771290E-01  0.14241919632442279209E+02 -0.42836653187070077020E-02 -0.12118233780194231225E-01  0.28323991449184786340E-01
           6           6   -0.16432352755290022261E-01  0.00000000000000000000E+00  0.13875499505360446406E+02  0.16361309006865280224E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.59268159599645334201E-01  0.13918335312204803245E+02 -0.39775684908655902644E-02 -0.12929683757854424156E-01  0.29800276766487738406E-01
           7           7   -0.16448849097121586577E-01  0.00000000000000000000E+00  0.13549139303868869888E+02  0.16039300289279950107E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.62259396974298227001E-01  0.13594949851746045866E+02 -0.36065571939374830787E-02 -0.13763831996608232380E-01  0.31288336727162052719E-01
           8           8   -0.16465918011994408465E-01  0.00000000000000000000E+00  0.13224268317884819268E+02  0.15715814040811157071E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.65353816131197103867E-01  0.13273156216004023733E+02 -0.31708624697991613650E-02 -0.14618339449597790580E-01  0.32782940658453572913E-01
           9           9   -0.16482624443979229656E-01  0.00000000000000000000E+00  0.12902211785517595288E+02  0.15391615020233844646E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.68539326972610628563E-01  0.12954268488046226437E+02 -0.26723687548922034872E-02 -0.15490791888006744809E-01  0.34280166060125211169E-01
          10          10   -0.16526257805178454219E-01  0.00000000000000000000E+00  0.11930736091823886724E+02  0.14402702052093845353E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.78704768165567012828E-01  0.11992914602184274742E+02 -0.79606962729644574223E-03 -0.18180737923761024905E-01  0.38760174971395923438E-01
