Micromagnetic energy calculation : BEMScript 2014
Mesh data:
18 July 2026  17:48:21
         Nodes    Tetrahedra   Bndry nodes   Bndry faces        Volume
          5017         26684          1102          2200  0.900094E-03
Material data:
      Temp (c)            Ms            K1        LamdaS        SigmaS          A_ex Vol^(1/3) (m)     QHardness   Lam_Ex (nm)      Kd V (J)
            20  0.488461E+06 -0.122085E+05  0.000000E+00  0.000000E+00  0.135143E-10  0.965523E-07 -0.814373E-01  0.949461E+01  0.134936E-15
External field direction (x, y, z) and strength B (T):
            hx            hy            hz         B (T)
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
Energies in units of Kd V:
Global-N-Eva      N-Eval              E-Anis                    E-Stress                     E-Exch1                     E-Exch2                     E-Exch3                     E-Exch4                       E-ext                     E-Demag                       E-Tot                          Mx                          My                          Mz
           1           1   -0.16409687749870938839E-01  0.00000000000000000000E+00  0.14751821460287853682E+02  0.17235681019729490515E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.49285551284728876253E-01  0.14784697323822710402E+02  0.37410259802515776449E-02  0.18978280008762969666E-01  0.78927137544527112278E-02
           2           2   -0.16411771260829044472E-01  0.00000000000000000000E+00  0.14635434590311239944E+02  0.17123856567457323763E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.50184936454792182514E-01  0.14669207755505203394E+02  0.37063300966108944992E-02  0.19293691099435992392E-01  0.79473346745237774535E-02
           3           3   -0.16414298793599162857E-01  0.00000000000000000000E+00  0.14518611921853363356E+02  0.17011208033981560561E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.51099444055984516444E-01  0.14553297067115748220E+02  0.36722965007488133152E-02  0.19616776597017566292E-01  0.80039117712939374105E-02
           4           4   -0.16417270620534451381E-01  0.00000000000000000000E+00  0.14401415762579038216E+02  0.16897750251807032384E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.52028659633466194101E-01  0.14437027151591971474E+02  0.36387799300935230046E-02  0.19947762506479851941E-01  0.80621897583153991768E-02
           5           5   -0.16420689198101499212E-01  0.00000000000000000000E+00  0.14283909120433955664E+02  0.16783512263520751873E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.52972139863122547077E-01  0.14320460571098974967E+02  0.36056212613535475707E-02  0.20286875643551402493E-01  0.81219002517109745859E-02
           6           6   -0.16432878940638821763E-01  0.00000000000000000000E+00  0.13956998247154663417E+02  0.16464887777713851591E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.55646162534325686877E-01  0.13996211530748350782E+02  0.35145165822323713375E-02  0.21252164702011053926E-01  0.82899214757562993822E-02
           7           7   -0.16448521538690585864E-01  0.00000000000000000000E+00  0.13630062170678764133E+02  0.16143238105473702859E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.58410777088164306248E-01  0.13672024426228237104E+02  0.34206267409201385719E-02  0.22284244351568248399E-01  0.84604789634321088398E-02
           8           8   -0.16467411772063629549E-01  0.00000000000000000000E+00  0.13304448950586690970E+02  0.15819817190221195702E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.61253625483047982603E-01  0.13349235164297674316E+02  0.33198490193619904602E-02  0.23386539566601173556E-01  0.86278668123565341319E-02
           9           9   -0.16488984544462230442E-01  0.00000000000000000000E+00  0.12981434264387699429E+02  0.15495552225052385609E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.64161654713586410703E-01  0.13029106934556823560E+02  0.32082985281617591722E-02  0.24561170023055894224E-01  0.87870804230219933667E-02
          10          10   -0.16563392611598025395E-01  0.00000000000000000000E+00  0.12005375268965398305E+02  0.14504670563356643953E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.73361687606120926097E-01  0.12062173563959921907E+02  0.27500799130766389287E-02  0.28465832722215336087E-01  0.91808788593994872934E-02
          11          11   -0.16623694924604994622E-01  0.00000000000000000000E+00  0.11106650438916604529E+02  0.13556666903992944384E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.82559333016746672129E-01  0.11172586077008746841E+02  0.21042274998352137640E-02  0.32914094596502171952E-01  0.94231004257208216685E-02
          12          12   -0.16659608593429735268E-01  0.00000000000000000000E+00  0.10291013966135789559E+02  0.12656411863374142257E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.91498114209536615671E-01  0.10365852471751896502E+02  0.13091403311846334066E-02  0.37731749819211284069E-01  0.95405683955573951371E-02
          13          13   -0.16672404459046573366E-01  0.00000000000000000000E+00  0.95545352470651945254E+01  0.11808944360005835250E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.10003148954726741315E+00  0.96378943321534151778E+01  0.46394532287739507180E-03  0.42718477967536749862E-01  0.95809972391663247165E-02
          14          14   -0.16716220511336581100E-01  0.00000000000000000000E+00  0.71306577570088567342E+01  0.88508292571893179002E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.13102438739572450088E+00  0.72449659238932451188E+01 -0.11586091108538843462E-02  0.59778419748105056375E-01  0.10024913537746354270E-01
          15          15   -0.16806445304329377388E-01  0.00000000000000000000E+00  0.57613546651374205609E+01  0.70696031822221634400E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.15093880658586242283E+00  0.58954870264189533913E+01 -0.27816192973595856713E-02  0.75928160907206332375E-01  0.89753150893146071282E-02
          16          16   -0.16846021287044484621E-01  0.00000000000000000000E+00  0.48145028520980250875E+01  0.58177624016232840631E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.16530622529289312750E+00  0.49629630561038737824E+01 -0.42961885810268701097E-02  0.90884461910468811174E-01  0.64945331001157518766E-02
          17          17   -0.16843255087517411406E-01  0.00000000000000000000E+00  0.41027957588077708095E+01  0.48776824212671128222E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17554417044162945460E+00  0.42614966741618829360E+01 -0.57076291536022148027E-02  0.10495127779680749058E+00  0.36259350604761660108E-02
          18          18   -0.16717053240718916102E-01  0.00000000000000000000E+00  0.36753691634851173298E+01  0.39380240631283420782E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17917061716434520835E+00  0.38378227274087435283E+01 -0.69084506307415883067E-02  0.15287908367044672486E+00 -0.61600255185117287413E-03
          19          19   -0.16780570475193882368E-01  0.00000000000000000000E+00  0.80905793373603707153E+01  0.95332276502379205141E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.10709294803155502973E+00  0.81808917149167310612E+01 -0.71210020431880004591E-02  0.12978000396659386539E+00  0.57849255418324667041E-02
          20          20   -0.16767726158590529756E-01  0.00000000000000000000E+00  0.34364843669628672984E+01  0.36933449878087616369E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17904523932604940462E+00  0.35987618801303264959E+01 -0.69511737737531290038E-02  0.16165996536541943351E+00 -0.14604442259149002636E-02
          21          21   -0.16759344510397178318E-01  0.00000000000000000000E+00  0.29193157151653652548E+01  0.31651660250102238159E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18352527312560695805E+00  0.30860816437805747015E+01 -0.63516154124642152518E-02  0.16769419080213993078E+00 -0.25793498352145328295E-02
          22          22   -0.16767759158707415401E-01  0.00000000000000000000E+00  0.25618550404007431887E+01  0.27977883322646373010E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18655438101435767306E+00  0.27316416622563939320E+01 -0.60249775717494992444E-02  0.17255825486467374352E+00 -0.36512632298465329435E-02
          23          23   -0.16788821236615809190E-01  0.00000000000000000000E+00  0.23138205298245431152E+01  0.25388147711329374090E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18852302150543098769E+00  0.24855547300933582555E+01 -0.58446245961983568293E-02  0.17668435803686691199E+00 -0.46490228883181742778E-02
          24          24   -0.16852612536496596601E-01  0.00000000000000000000E+00  0.18558917706594126873E+01  0.20386773992697007074E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.19144961915122332696E+00  0.20304887772741393448E+01 -0.52618210973771010336E-02  0.18709524687467590787E+00 -0.75867302575811116847E-02
          25          25   -0.16865952132384336160E-01  0.00000000000000000000E+00  0.16755314217968693136E+01  0.18331704626423552806E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.19152510565586508551E+00  0.18501905753203502503E+01 -0.41076901811894894062E-02  0.19571659444758807145E+00 -0.86835006416478462132E-02
          26          26   -0.16872037233926648336E-01  0.00000000000000000000E+00  0.15551025177860275939E+01  0.16940919564157106425E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.19112850404855247222E+00  0.17293589846006534039E+01 -0.28758038360102689511E-02  0.20373902095202850449E+00 -0.95342307018870808832E-02
          27          27   -0.16862515856748260673E-01  0.00000000000000000000E+00  0.14613686300987214217E+01  0.15866324965545255399E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.19059251877281471743E+00  0.16350986330147878611E+01 -0.17455609675495900937E-02  0.21123085656075274441E+00 -0.10323940917751692550E-01
          28          28   -0.16782627011331919392E-01  0.00000000000000000000E+00  0.13841261722809996559E+01  0.14731916808194234214E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18681231155192873361E+00  0.15541558568215965153E+01 -0.92715371832009026327E-03  0.23643427864837948671E+00 -0.11332555889185549208E-01
          29          29   -0.16570166720170625280E-01  0.00000000000000000000E+00  0.22001115144998690809E+01  0.23877940386729705757E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.16763077159241110414E+00  0.23511721193721095702E+01 -0.26608788996109037674E-02  0.27787816307650181624E+00 -0.13773094759439207316E-01
          30          30   -0.16753357726604269778E-01  0.00000000000000000000E+00  0.13082058726080392219E+01  0.13903803516332138290E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18633614587924318684E+00  0.14777886607606780522E+01 -0.77401245044927404707E-03  0.24269066343765591243E+00 -0.11360512528774532534E-01
          31          31   -0.16723378158704525764E-01  0.00000000000000000000E+00  0.12444711021682119956E+01  0.13211159413880375624E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18654102554382565038E+00  0.14142887495533333908E+01 -0.92380720401397272128E-03  0.24563748470370272425E+00 -0.11260901756781434638E-01
          32          32   -0.16704079064889250372E-01  0.00000000000000000000E+00  0.11943262889278436489E+01  0.12665112903744009110E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18665296703092040809E+00  0.13642751768938747858E+01 -0.10975774138905600337E-02  0.24846188818277401000E+00 -0.11176787187978973193E-01
          33          33   -0.16692365884346294785E-01  0.00000000000000000000E+00  0.11541675279744054716E+01  0.12230472870392572471E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18667815568731940812E+00  0.13241533177773787688E+01 -0.12893969174672679015E-02  0.25117771526452520314E+00 -0.11078958952573233696E-01
          34          34   -0.16631780684726264058E-01  0.00000000000000000000E+00  0.10683941599477491113E+01  0.11318412173631646755E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18630045560692443107E+00  0.12380628348699473928E+01 -0.19226488097380130780E-02  0.25805893027229731551E+00 -0.10500358597242206646E-01
          35          35   -0.16573342672236795331E-01  0.00000000000000000000E+00  0.10192930915985092266E+01  0.10780520747979258633E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18571961499889549918E+00  0.11884393639251680241E+01 -0.26108782361007700813E-02  0.26414920462863072936E+00 -0.10120519485437115548E-01
          36          36   -0.16512429723922427555E-01  0.00000000000000000000E+00  0.97836394845084229122E+00  0.10328174960614719957E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18514448402756816803E+00  0.11469960027544880976E+01 -0.32967312631687968778E-02  0.26982245470019750044E+00 -0.96088901348840190242E-02
          37          37   -0.16447470825440600045E-01  0.00000000000000000000E+00  0.94209959894945682901E+00  0.99271308481120945633E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18458126505225058711E+00  0.11102333931762669028E+01 -0.39906726242778679109E-02  0.27517271594294556714E+00 -0.90435476362393241168E-02
          38          38   -0.16260407817715465811E-01  0.00000000000000000000E+00  0.89309359399014831560E+00  0.93665807813259915893E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18203094427602042882E+00  0.10588641304484531780E+01 -0.49094224090558639256E-02  0.29150516787176772304E+00 -0.85788341290711812859E-02
          39          39   -0.15897527955861467941E-01  0.00000000000000000000E+00  0.10278367242096051459E+01  0.10760404574948037038E+01  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17609520938410769264E+00  0.11880344056378513429E+01 -0.57682419261162725527E-02  0.31492919406201280719E+00 -0.55039771421459019948E-02
          40          40   -0.16216898935083212674E-01  0.00000000000000000000E+00  0.86859418568465884825E+00  0.91083591559536625226E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18165068384793198186E+00  0.10340279705975075064E+01 -0.51613165157630295013E-02  0.29462523959206643465E+00 -0.83586208384252187742E-02
          41          41   -0.16193010761711347512E-01  0.00000000000000000000E+00  0.85193989142998338693E+00  0.89320935830441605674E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18148030765776490547E+00  0.10172271883260368686E+01 -0.53160211629910379683E-02  0.29640229312933158434E+00 -0.82429157977457635093E-02
          42          42   -0.16165336762101471108E-01  0.00000000000000000000E+00  0.83742670599222346350E+00  0.87733079381219591930E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18130757856720933208E+00  0.10025689477973311892E+01 -0.54653031708877166522E-02  0.29815061279478194400E+00 -0.81179432812821458731E-02
          43          43   -0.16135646556757136938E-01  0.00000000000000000000E+00  0.82441442730049074861E+00  0.86296872124975898544E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18113163855987712836E+00  0.98941041930361073309E+00 -0.56149058323764142187E-02  0.29987734193477749711E+00 -0.79885608341794846210E-02
          44          44   -0.16065550119880533941E-01  0.00000000000000000000E+00  0.78935063822267936828E+00  0.82305597219037673895E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18065265645163144925E+00  0.95393774455443014482E+00 -0.60626667820768247175E-02  0.30437539879667141474E+00 -0.76390803828370748910E-02
          45          45   -0.16005106317241540176E-01  0.00000000000000000000E+00  0.76675585053921047063E+00  0.79864402008326917937E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.18010789712287200715E+00  0.93085864134484097576E+00 -0.64661081871271210153E-02  0.30847573024082675097E+00 -0.73467920921765966433E-02
          46          46   -0.15947202789442858906E-01  0.00000000000000000000E+00  0.74759310181930382910E+00  0.77803656622953343280E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17953909835156747765E+00  0.91118499738142844091E+00 -0.68924826713918901228E-02  0.31240637116064562395E+00 -0.70233009647253860641E-02
          47          47   -0.15893380839060118614E-01  0.00000000000000000000E+00  0.73043955654577075176E+00  0.75969048082852241865E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17895088948929110950E+00  0.89349706519600169408E+00 -0.73207565773198007841E-02  0.31618165022341865322E+00 -0.66986868194132270782E-02
          48          48   -0.15785223540014051841E-01  0.00000000000000000000E+00  0.71236975883853526081E+00  0.74036283100325184225E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17704511474346715239E+00  0.87362965004198833707E+00 -0.85856825358795480635E-02  0.32593785612372805360E+00 -0.54106950379274841578E-02
          49          49   -0.15640653032422579399E-01  0.00000000000000000000E+00  0.82345377546001163882E+00  0.87128486781254199656E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.17204577716699528955E+00  0.97985889959458427612E+00 -0.10040137020895307379E-01  0.34128525453219732411E+00 -0.34581664846212336988E-02
