Micromagnetic energy calculation : BEMScript 2014
Mesh data:
18 July 2026  17:48:08
         Nodes    Tetrahedra   Bndry nodes   Bndry faces        Volume
          5017         26684          1102          2200  0.900094E-03
Material data:
      Temp (c)            Ms            K1        LamdaS        SigmaS          A_ex Vol^(1/3) (m)     QHardness   Lam_Ex (nm)      Kd V (J)
            20  0.488461E+06 -0.122085E+05  0.000000E+00  0.000000E+00  0.135143E-10  0.965523E-07 -0.814373E-01  0.949461E+01  0.134936E-15
External field direction (x, y, z) and strength B (T):
            hx            hy            hz         B (T)
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
Energies in units of Kd V:
Global-N-Eva      N-Eval              E-Anis                    E-Stress                     E-Exch1                     E-Exch2                     E-Exch3                     E-Exch4                       E-ext                     E-Demag                       E-Tot                          Mx                          My                          Mz
           1           1   -0.16614974510498672217E-01  0.00000000000000000000E+00  0.14677492216413904558E+02  0.17113922490643599161E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.52386808805067568151E-01  0.14713264050708472652E+02 -0.80160417969791075005E-02 -0.57392146465320096477E-02  0.53651196344301375560E-02
           2           2   -0.16619441360636671989E-01  0.00000000000000000000E+00  0.14557281739095724760E+02  0.16997037987835337702E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.53318348966194972771E-01  0.14593980646701282922E+02 -0.81096472473827039412E-02 -0.57147585371988733963E-02  0.54196081013420920741E-02
           3           3   -0.16623956292614146951E-01  0.00000000000000000000E+00  0.14436579280592980012E+02  0.16879480887046849347E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.54266016133143170352E-01  0.14474221340433508942E+02 -0.82077962545528074939E-02 -0.56855873555641594716E-02  0.54755614730081746122E-02
           4           4   -0.16628490733173899307E-01  0.00000000000000000000E+00  0.14315451922143541452E+02  0.16761327001326137065E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.55229554148383659673E-01  0.14354052985558750422E+02 -0.83107535480167315373E-02 -0.56515871697936561485E-02  0.55328994128690045864E-02
           5           5   -0.16633013144930836741E-01  0.00000000000000000000E+00  0.14193968030253824253E+02  0.16642594725401487210E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.56208668599801170362E-01  0.14233543685708692550E+02 -0.84187706595190633929E-02 -0.56126662085434295829E-02  0.55915283994665649844E-02
           6           6   -0.16644942265064736897E-01  0.00000000000000000000E+00  0.13855877929718364072E+02  0.16311655158489056561E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.58984843957571315987E-01  0.13898217831410871526E+02 -0.87306662973331925631E-02 -0.54787763227986899933E-02  0.57535576822168189165E-02
           7           7   -0.16655715754349612046E-01  0.00000000000000000000E+00  0.13517594863773947367E+02  0.15977406626580329174E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.61864839620034500767E-01  0.13562803987639632908E+02 -0.90868776742096171034E-02 -0.53053618499780070064E-02  0.59214193306346956519E-02
           8           8   -0.16664731993251476194E-01  0.00000000000000000000E+00  0.13180575651191260178E+02  0.15640907863467015559E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.64837955422384019322E-01  0.13228748874620393394E+02 -0.94903254915605795433E-02 -0.50934783313197192975E-02  0.60920200549401011536E-02
           9           9   -0.16671752346205201412E-01  0.00000000000000000000E+00  0.12846153096283591921E+02  0.15302664050861372047E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.67892097026963540984E-01  0.12897373440964351232E+02 -0.99422484079877190138E-02 -0.48454223446145047380E-02  0.62623111444993113939E-02
          10          10   -0.16681163116495645315E-01  0.00000000000000000000E+00  0.11834875358992041683E+02  0.14266128519869500479E+02  0.00000000000000000000E+00  0.00000000000000000000E+00  0.00000000000000000000E+00  0.77597320310808612365E-01  0.11895791516186354997E+02 -0.11489823167476601734E-01 -0.38632299902253059744E-02  0.66813599992132915312E-02
